reaction_id,product_smiles,reactant_1_smiles,reactant_2_smiles,catalyst_smiles,solvent,temperature,reaction_smiles,yield,product_key,reactant_key
reactions_1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,FC(F)(F)c1ccc(Cl)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,FC(F)(F)c1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,10.65781182,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
reactions_2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,FC(F)(F)c1ccc(Br)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,FC(F)(F)c1ccc(Br)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.747896099999998,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
reactions_3,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,FC(F)(F)c1ccc(I)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,FC(F)(F)c1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,18.27868619,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,Cc1ccc(N)cc1.FC(F)(F)c1ccc(I)cc1
reactions_4,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Cl)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,COc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>COc1ccc(Nc2ccc(C)cc2)cc1,2.475057616,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
reactions_5,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Br)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,COc1ccc(Br)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>COc1ccc(Nc2ccc(C)cc2)cc1,6.119058475,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(Br)cc1.Cc1ccc(N)cc1
reactions_6,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(I)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,COc1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>COc1ccc(Nc2ccc(C)cc2)cc1,5.449924218,COc1ccc(Nc2ccc(C)cc2)cc1,COc1ccc(I)cc1.Cc1ccc(N)cc1
reactions_7,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Cl)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>CCc1ccc(Nc2ccc(C)cc2)cc1,7.802080337,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
reactions_8,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Br)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,CCc1ccc(Br)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>CCc1ccc(Nc2ccc(C)cc2)cc1,14.23417841,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
reactions_9,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(I)cc1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,CCc1ccc(I)cc1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>CCc1ccc(Nc2ccc(C)cc2)cc1,15.41389344,CCc1ccc(Nc2ccc(C)cc2)cc1,CCc1ccc(I)cc1.Cc1ccc(N)cc1
reactions_10,Cc1ccc(Nc2ccccn2)cc1,Clc1ccccn1,Cc1ccc(N)cc1,UNKNOWN,UNKNOWN,UNKNOWN,Clc1ccccn1.Cc1ccc(N)cc1.O=S(=O)(O[Pd]1c2ccccc2-c2ccccc2N~1)C(F)(F)F.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.c1ccc(-c2ccno2)cc1>>Cc1ccc(Nc2ccccn2)cc1,9.46569581,Cc1ccc(Nc2ccccn2)cc1,Cc1ccc(N)cc1.Clc1ccccn1
