train_fraction,split_method,group_column,feature_kind,n_features,augmentation,augmentation_method,n_real_train,n_synthetic_train,synthetic_multiplier,teacher_model,min_neighbor_similarity,model,split,metric,value,train_rows,augmented_train_rows,eval_rows,eval_augmented_rows
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,valid,rmse,26.60717642441269,31,0,395,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,valid,mae,22.122964368931857,31,0,395,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,valid,r2,0.07749115743063129,31,0,395,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,valid,spearman,0.30969971820848363,31,0,395,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,test,rmse,26.719656990798203,31,0,396,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,test,mae,22.065757065129404,31,0,396,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,test,r2,0.10025670236828976,31,0,396,0
0.01,random,,reaction_role_concat,6144,none,none,31,0,0.0,,,random_forest,test,spearman,0.3213724972020543,31,0,396,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,valid,rmse,27.189890004911465,62,31,395,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,valid,mae,22.379884338184247,62,31,395,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,valid,r2,0.036641662340921255,62,31,395,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,valid,spearman,0.28247843878584566,62,31,395,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,test,rmse,27.065293413250274,62,31,396,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,test,mae,22.004937876089652,62,31,396,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,test,r2,0.07682859872420456,62,31,396,0
0.01,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,31,31,1.0,random_forest,0.3,random_forest,test,spearman,0.31658750529764046,62,31,396,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,valid,rmse,15.347443997609096,158,0,395,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,valid,mae,11.017895912626877,158,0,395,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,valid,r2,0.6930659473078735,158,0,395,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,valid,spearman,0.8373159149276908,158,0,395,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,test,rmse,14.67216998938619,158,0,396,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,test,mae,10.851791389720757,158,0,396,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,test,r2,0.7287026429566072,158,0,396,0
0.05,random,,reaction_role_concat,6144,none,none,158,0,0.0,,,random_forest,test,spearman,0.8718058468644415,158,0,396,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,valid,rmse,15.289558964421193,316,158,395,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,valid,mae,10.768769959467875,316,158,395,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,valid,r2,0.6953768705700436,316,158,395,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,valid,spearman,0.8345269747114289,316,158,395,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,test,rmse,14.605682617510844,316,158,396,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,test,mae,10.677317996904103,316,158,396,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,test,r2,0.731155855911247,316,158,396,0
0.05,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,158,158,1.0,random_forest,0.3,random_forest,test,spearman,0.8644032591018385,316,158,396,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,valid,rmse,14.471259460462234,316,0,395,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,valid,mae,10.225675690967824,316,0,395,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,valid,r2,0.7271112578288355,316,0,395,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,valid,spearman,0.8613827436756167,316,0,395,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,test,rmse,13.589553703814277,316,0,396,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,test,mae,9.895566028636512,316,0,396,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,test,r2,0.7672620249601887,316,0,396,0
0.1,random,,reaction_role_concat,6144,none,none,316,0,0.0,,,random_forest,test,spearman,0.8890296140802035,316,0,396,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,valid,rmse,13.84930393097686,632,316,395,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,valid,mae,10.010037687225811,632,316,395,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,valid,r2,0.7500639790066093,632,316,395,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,valid,spearman,0.8754454518628505,632,316,395,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,test,rmse,13.24197767318293,632,316,396,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,test,mae,9.847759447308501,632,316,396,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,test,r2,0.7790151171384933,632,316,396,0
0.1,random,,reaction_role_concat,6144,condition_recombine_pseudolabel,condition_recombine_pseudolabel,316,316,1.0,random_forest,0.3,random_forest,test,spearman,0.8907880802414078,632,316,396,0
