policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,0.25,0.7,ridge,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,27.952978619871953,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,0.25,0.7,ridge,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,22.464182633013664,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,0.25,0.7,ridge,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,-0.0181907418254168,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,0.25,0.7,ridge,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.26464826611292436,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.7,ridge,1,31,7,1.2258064516129032,True,0.7840236561638968,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,28.497465547158505,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.7,ridge,1,31,7,1.2258064516129032,True,0.7840236561638968,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,23.30196849495399,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.7,ridge,1,31,7,1.2258064516129032,True,0.7840236561638968,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,-0.05824307126317052,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.7,ridge,1,31,7,1.2258064516129032,True,0.7840236561638968,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.2229107495431536,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,27.92462779169216,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,22.829457821892785,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,-0.016126424282260965,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.8090292658124651,0.7324841022491455,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.23930049554524066,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.25,0.7,ridge,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,27.97357110220225,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.25,0.7,ridge,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,22.97523883388314,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.25,0.7,ridge,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,-0.01969146188736559,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.25,0.7,ridge,3,31,7,1.2258064516129032,True,0.8189814618655612,0.7876712083816528,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.24982260109233537,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.25,0.7,ridge,4,31,7,1.2258064516129032,True,0.7994841473443167,0.7631579041481018,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,26.322235307314575,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.25,0.7,ridge,4,31,7,1.2258064516129032,True,0.7994841473443167,0.7631579041481018,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,21.383190110906767,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.25,0.7,ridge,4,31,7,1.2258064516129032,True,0.7994841473443167,0.7631579041481018,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,0.09714398975789407,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.25,0.7,ridge,4,31,7,1.2258064516129032,True,0.7994841473443167,0.7631579041481018,0.85,reaction_role_concat,6144,random_forest,False,valid,spearman,0.3618746322542645,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_0,condition_recombine_pseudolabel,0.25,0.7,random_forest,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,rmse,26.93806996847941,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_0,condition_recombine_pseudolabel,0.25,0.7,random_forest,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,mae,21.931865354103383,0,0.01,random,,
condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_rf__seed_0,condition_recombine_pseudolabel,0.25,0.7,random_forest,0,31,7,1.2258064516129032,True,0.8202022211892264,0.7484662532806396,0.85,reaction_role_concat,6144,random_forest,False,valid,r2,0.05440337748891089,0,0.01,random,,
