train_fraction,split_method,group_column,split,reaction_id,group_value
0.01,random,,train,reactions_2463,
0.01,random,,train,reactions_3208,
0.01,random,,train,reactions_3788,
0.01,random,,train,reactions_3806,
0.01,random,,train,reactions_3480,
0.01,random,,train,reactions_3343,
0.01,random,,train,reactions_3021,
0.01,random,,train,reactions_2459,
0.01,random,,train,reactions_17,
0.01,random,,train,reactions_2132,
0.01,random,,train,reactions_1168,
0.01,random,,train,reactions_1492,
0.01,random,,train,reactions_173,
0.01,random,,train,reactions_3262,
0.01,random,,train,reactions_1335,
0.01,random,,train,reactions_943,
0.01,random,,train,reactions_390,
0.01,random,,train,reactions_179,
0.01,random,,train,reactions_2524,
0.01,random,,train,reactions_2998,
0.01,random,,train,reactions_3933,
0.01,random,,train,reactions_3223,
0.01,random,,train,reactions_734,
0.01,random,,train,reactions_95,
0.01,random,,train,reactions_3738,
0.01,random,,train,reactions_2243,
0.01,random,,train,reactions_1155,
0.01,random,,train,reactions_2954,
0.01,random,,train,reactions_2416,
0.01,random,,train,reactions_1179,
0.01,random,,train,reactions_194,
0.01,random,,valid,reactions_2803,
0.01,random,,valid,reactions_1842,
0.01,random,,valid,reactions_2906,
0.01,random,,valid,reactions_2208,
0.01,random,,valid,reactions_3594,
0.01,random,,valid,reactions_2887,
0.01,random,,valid,reactions_1250,
0.01,random,,valid,reactions_3178,
0.01,random,,valid,reactions_497,
0.01,random,,valid,reactions_3906,
0.01,random,,valid,reactions_3163,
0.01,random,,valid,reactions_1348,
0.01,random,,valid,reactions_3826,
0.01,random,,valid,reactions_3113,
0.01,random,,valid,reactions_387,
0.01,random,,valid,reactions_871,
0.01,random,,valid,reactions_2755,
0.01,random,,valid,reactions_115,
0.01,random,,valid,reactions_3730,
0.01,random,,valid,reactions_527,
0.01,random,,valid,reactions_1998,
0.01,random,,valid,reactions_2763,
0.01,random,,valid,reactions_3213,
0.01,random,,valid,reactions_189,
0.01,random,,valid,reactions_2967,
0.01,random,,valid,reactions_2535,
0.01,random,,valid,reactions_3045,
0.01,random,,valid,reactions_2639,
0.01,random,,valid,reactions_825,
0.01,random,,valid,reactions_1229,
0.01,random,,valid,reactions_1754,
0.01,random,,valid,reactions_1585,
0.01,random,,valid,reactions_359,
0.01,random,,valid,reactions_2545,
0.01,random,,valid,reactions_1879,
0.01,random,,valid,reactions_2823,
0.01,random,,valid,reactions_1201,
0.01,random,,valid,reactions_3570,
0.01,random,,valid,reactions_1710,
0.01,random,,valid,reactions_1380,
0.01,random,,valid,reactions_86,
0.01,random,,valid,reactions_1300,
0.01,random,,valid,reactions_1941,
0.01,random,,valid,reactions_160,
0.01,random,,valid,reactions_889,
0.01,random,,valid,reactions_2978,
0.01,random,,valid,reactions_3064,
0.01,random,,valid,reactions_3123,
0.01,random,,valid,reactions_3896,
0.01,random,,valid,reactions_2422,
0.01,random,,valid,reactions_2044,
0.01,random,,valid,reactions_2454,
0.01,random,,valid,reactions_990,
0.01,random,,valid,reactions_1033,
0.01,random,,valid,reactions_3914,
0.01,random,,valid,reactions_2433,
0.01,random,,valid,reactions_1009,
0.01,random,,valid,reactions_1435,
0.01,random,,valid,reactions_1323,
0.01,random,,valid,reactions_1735,
0.01,random,,valid,reactions_1597,
0.01,random,,valid,reactions_1898,
0.01,random,,valid,reactions_802,
