train_fraction,metric,comparison,small_search_mean,other_method_mean,delta_other_minus_small,delta_std,n_seeds,other_better_seeds,paired_t_p,wilcoxon_p
0.01,mae,large_search_minus_small_search,16.242731843871525,16.325500874044998,0.08276903017347123,0.1326683012679548,5,1,0.2354781953895065,0.1875
0.01,mae,ensemble_filter_minus_small_search,16.242731843871525,16.558714737679132,0.31598289380760747,0.6016096724398542,5,2,0.3053619886288618,0.4375
0.01,rmse,large_search_minus_small_search,20.470761498481433,20.541408672084405,0.07064717360296839,0.15738793290065295,5,1,0.3723110135618854,0.625
0.01,rmse,ensemble_filter_minus_small_search,20.470761498481433,20.930705968672648,0.4599444701912141,0.9334094825722886,5,2,0.33237192820239697,0.4375
0.01,r2,large_search_minus_small_search,0.45499346685841396,0.4510186005365708,-0.003974866321843129,0.00811673371736278,5,1,0.33501368359323047,0.625
0.01,r2,ensemble_filter_minus_small_search,0.45499346685841396,0.4286756681695413,-0.026317798688872695,0.051267646259558,5,2,0.315006288318394,0.4375
0.01,spearman,large_search_minus_small_search,0.7083651979056957,0.7044976893909151,-0.003867508514780704,0.004808764766301223,5,1,0.14651341643560956,0.1875
0.01,spearman,ensemble_filter_minus_small_search,0.7083651979056957,0.694163792407433,-0.014201405498262654,0.037345935302030106,5,3,0.44306021239065396,0.8125
0.05,mae,large_search_minus_small_search,11.266121015927556,11.32573834544375,0.0596173295161929,0.2545266617711067,5,2,0.6281302712068312,0.625
0.05,mae,ensemble_filter_minus_small_search,11.266121015927556,11.162323474316885,-0.10379754161067253,0.2570519503261786,5,3,0.4176244284146498,0.4375
0.05,rmse,large_search_minus_small_search,14.993174048819418,14.924064022375656,-0.06911002644376225,0.14389681642526056,5,3,0.3433228951684637,0.4375
0.05,rmse,ensemble_filter_minus_small_search,14.993174048819418,15.045464937457103,0.05229088863768716,0.2604938313116678,5,2,0.676774462512733,0.8125
0.05,r2,large_search_minus_small_search,0.7080258502819625,0.7107936945586714,0.002767844276708864,0.0055923935462127575,5,3,0.33049845297312624,0.4375
0.05,r2,ensemble_filter_minus_small_search,0.7080258502819625,0.7057865548823834,-0.0022392953995791,0.010330107923484697,5,2,0.6532218472286218,0.8125
0.05,spearman,large_search_minus_small_search,0.848202556389435,0.8491890523493535,0.0009864959599185318,0.004059799295692452,5,3,0.6157550044322684,0.625
0.05,spearman,ensemble_filter_minus_small_search,0.848202556389435,0.8453167944653843,-0.002885761924050567,0.006203931346260257,5,2,0.35702491188078256,0.3125
0.1,mae,large_search_minus_small_search,9.875222522333564,9.803475224861103,-0.07174729747246182,0.12844726045244176,5,4,0.2797656157688311,0.3125
0.1,mae,ensemble_filter_minus_small_search,9.875222522333564,9.72230409670305,-0.15291842563051397,0.15622797354882356,5,5,0.0938282680121735,0.0625
0.1,rmse,large_search_minus_small_search,13.306551817530192,13.34387300847383,0.03732119094363924,0.32065377049028876,5,3,0.807512807198027,1.0
0.1,rmse,ensemble_filter_minus_small_search,13.306551817530192,13.470043122087475,0.16349130455728195,0.18103590560439056,5,1,0.11357981691503474,0.125
0.1,r2,large_search_minus_small_search,0.7702539950655101,0.768924319585567,-0.001329675479943182,0.011018618081516246,5,3,0.800633693788945,1.0
0.1,r2,ensemble_filter_minus_small_search,0.7702539950655101,0.7645063213915344,-0.005747673673975773,0.006433636472600346,5,1,0.11642782405921188,0.125
0.1,spearman,large_search_minus_small_search,0.8775784505445413,0.8761590545722268,-0.0014193959723147742,0.009341109210437494,5,2,0.7511183576096588,0.8125
0.1,spearman,ensemble_filter_minus_small_search,0.8775784505445413,0.8744069959783503,-0.0031714545661911007,0.005367136445731732,5,2,0.25691291050033804,0.3125
