evaluation_unit,phase,pool_kind,pool_hash,parent_eligible_source_id_hash,internal_validation_source_id_hash,observed_parent_source_id_hash,parent_count,candidate_count,accepted_count,selected_count,degenerate_pool,measured_identity_key_count,measured_identity_key_hash,measured_identity_key_scope,parents_exclude_internal_validation,pool_training_source_id_hash
canonical-random:seed=5:fraction=0.2,search,anonymous,25b84c8a6760c14c1767265a5d9bf1b726a37b5a0eb159290856263efd81ffc8,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89,55ecad28ca25867be1d91852f78e08e97404591b33cb2e37278dc4ba62e4ff95,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89,406,406,294,294,False,507,854d1a5d1c460507f6e65b90b4d0f19ed4c362e5e440c17ae6be3ae0f2348039,inner_policy_fit_rows,True,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89
canonical-random:seed=5:fraction=0.2,search,typed,94fe3fae22789eb5d0770d8615d223211b8c81e215ed74760403101935642d29,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89,55ecad28ca25867be1d91852f78e08e97404591b33cb2e37278dc4ba62e4ff95,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89,406,406,295,295,False,507,854d1a5d1c460507f6e65b90b4d0f19ed4c362e5e440c17ae6be3ae0f2348039,inner_policy_fit_rows,True,5a117b201fb68faef29c87ddf37ca6ba8e9dc3cb2edf2a22de7e25b2adb17a89
canonical-random:seed=6:fraction=0.2,search,anonymous,2077bb2b4b030de2e1dd4a947b53fd5172817d92d02246a3081a3174258a54fa,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af,7c28243507c6f44a5c6bfd8ed2c3eb60580489e52ef4f2edb9b6d66276906e2b,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af,406,406,301,301,False,507,daa4cef8f7ad81845b13ca38531748f6728aa03cac19d1e63acb93f7738a1c4c,inner_policy_fit_rows,True,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af
canonical-random:seed=6:fraction=0.2,search,typed,22ac1b05f6a5fdbcbe1482f57abe5f66ab437feafb3e1df5c713c6deaeea4036,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af,7c28243507c6f44a5c6bfd8ed2c3eb60580489e52ef4f2edb9b6d66276906e2b,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af,406,406,305,305,False,507,daa4cef8f7ad81845b13ca38531748f6728aa03cac19d1e63acb93f7738a1c4c,inner_policy_fit_rows,True,4f3150a1e47e4d6e826d0f8366039709eaae53062092da763103c5e919d4b0af
canonical-random:seed=7:fraction=0.2,search,anonymous,ac746e2ad783c6cc8e5e9341dd717bc70b0968f96192d41b91efc4115ecfb3cf,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f,5e26f1797c6a9bbadd0904676f60c68df4e0881e5320008d1729acf3509097a9,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f,406,406,294,294,False,507,ad6d0c543145a54b61919e11151ee24ad51eca26a606abf4f3debe7da2f773d3,inner_policy_fit_rows,True,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f
canonical-random:seed=7:fraction=0.2,search,typed,7ae48140947d3e4b43fe599aef4574f12dfd2ca7a039fd96e9a7a3bb9c237110,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f,5e26f1797c6a9bbadd0904676f60c68df4e0881e5320008d1729acf3509097a9,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f,406,406,294,294,False,507,ad6d0c543145a54b61919e11151ee24ad51eca26a606abf4f3debe7da2f773d3,inner_policy_fit_rows,True,2fd645f9476bbac10e77c71bca33d8acfff4634a302d4f1a7bfd80baa6ca720f
canonical-random:seed=8:fraction=0.2,search,anonymous,31f395c42949099acfcdbea3c17ed59ccdddd439b37425e07b0802b6c2f95d63,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036,18509c85571997a70492a6551688cb2c6f10b643f17776f328fe704559d2afaa,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036,406,406,304,304,False,507,1748384863606dffaa056b3da732b9fdc8d9dabcc21e30a7e8e8ad6b08d0822e,inner_policy_fit_rows,True,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036
canonical-random:seed=8:fraction=0.2,search,typed,8cec67e45276b3ecb9dff90c10bafeb8bbf588ea4b990ea85ef5b1f0af60d847,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036,18509c85571997a70492a6551688cb2c6f10b643f17776f328fe704559d2afaa,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036,406,406,305,305,False,507,1748384863606dffaa056b3da732b9fdc8d9dabcc21e30a7e8e8ad6b08d0822e,inner_policy_fit_rows,True,18c3a29126f84a6f1dfd347dbaa9c12a6f3836b05aa2d58f130a010218153036
canonical-random:seed=9:fraction=0.2,search,anonymous,548153f9f956f56fcdc250d4954abefbe1f6075ad343694f1b3d28da672677f7,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8,36fa2dd22e9dc11a50016fd935907bdc04eecf47c2664a2ac098b0a501cf4956,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8,406,406,298,298,False,507,e08ed6d531c76ff4ef044fc12f53d28047a06427fe50510071bb14c9ebf71bd2,inner_policy_fit_rows,True,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8
canonical-random:seed=9:fraction=0.2,search,typed,c67429658512e2963b703df1a6d15573a6d5c493c2be04d7dc71ee9e95eb1422,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8,36fa2dd22e9dc11a50016fd935907bdc04eecf47c2664a2ac098b0a501cf4956,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8,406,406,295,295,False,507,e08ed6d531c76ff4ef044fc12f53d28047a06427fe50510071bb14c9ebf71bd2,inner_policy_fit_rows,True,0c66263ef54dcfea635f2e657ff75c9df4e530445b4ce3073a10bb87ddcbd5f8
