train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
1.0,random,,reaction_morgan_sum,2048,ridge,valid,rmse,15.025106951485055
1.0,random,,reaction_morgan_sum,2048,ridge,valid,mae,12.135714453986928
1.0,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.7058234142048567
1.0,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8708965310800076
1.0,random,,reaction_morgan_sum,2048,ridge,test,rmse,14.344170400751153
1.0,random,,reaction_morgan_sum,2048,ridge,test,mae,11.643360034383909
1.0,random,,reaction_morgan_sum,2048,ridge,test,r2,0.7406968847398472
1.0,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8935066762720968
1.0,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,5.331056508298343
1.0,random,,reaction_morgan_sum,2048,random_forest,valid,mae,3.7432364400794045
1.0,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.9629660930453847
1.0,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9796862304835905
1.0,random,,reaction_morgan_sum,2048,random_forest,test,rmse,6.214807804927114
1.0,random,,reaction_morgan_sum,2048,random_forest,test,mae,4.293486952997716
1.0,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.9513242930445232
1.0,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.9711636309130923
1.0,random,,reaction_role_concat,6144,ridge,valid,rmse,15.025201211860338
1.0,random,,reaction_role_concat,6144,ridge,valid,mae,12.136101761648927
1.0,random,,reaction_role_concat,6144,ridge,valid,r2,0.7058197231452927
1.0,random,,reaction_role_concat,6144,ridge,valid,spearman,0.87085836376522
1.0,random,,reaction_role_concat,6144,ridge,test,rmse,14.344209626583403
1.0,random,,reaction_role_concat,6144,ridge,test,mae,11.643222531887016
1.0,random,,reaction_role_concat,6144,ridge,test,r2,0.7406954665477701
1.0,random,,reaction_role_concat,6144,ridge,test,spearman,0.893471785303415
1.0,random,,reaction_role_concat,6144,random_forest,valid,rmse,5.309997803503549
1.0,random,,reaction_role_concat,6144,random_forest,valid,mae,3.7511668098669357
1.0,random,,reaction_role_concat,6144,random_forest,valid,r2,0.9632580973646833
1.0,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.9795218773525665
1.0,random,,reaction_role_concat,6144,random_forest,test,rmse,6.12942994480161
1.0,random,,reaction_role_concat,6144,random_forest,test,mae,4.297486987801109
1.0,random,,reaction_role_concat,6144,random_forest,test,r2,0.9526525020061043
1.0,random,,reaction_role_concat,6144,random_forest,test,spearman,0.971703619395155
1.0,random,,reaction_role_concat_delta,8192,ridge,valid,rmse,15.025199640445095
1.0,random,,reaction_role_concat_delta,8192,ridge,valid,mae,12.135898520373091
1.0,random,,reaction_role_concat_delta,8192,ridge,valid,r2,0.7058197846791572
1.0,random,,reaction_role_concat_delta,8192,ridge,valid,spearman,0.8708739422610516
1.0,random,,reaction_role_concat_delta,8192,ridge,test,rmse,14.344027533388726
1.0,random,,reaction_role_concat_delta,8192,ridge,test,mae,11.643161607511116
1.0,random,,reaction_role_concat_delta,8192,ridge,test,r2,0.7407020500113999
1.0,random,,reaction_role_concat_delta,8192,ridge,test,spearman,0.8934824169005202
1.0,random,,reaction_role_concat_delta,8192,random_forest,valid,rmse,5.226069848059096
1.0,random,,reaction_role_concat_delta,8192,random_forest,valid,mae,3.697509419951164
1.0,random,,reaction_role_concat_delta,8192,random_forest,valid,r2,0.9644103777073824
1.0,random,,reaction_role_concat_delta,8192,random_forest,valid,spearman,0.9802836657987344
1.0,random,,reaction_role_concat_delta,8192,random_forest,test,rmse,6.214782380734039
1.0,random,,reaction_role_concat_delta,8192,random_forest,test,mae,4.3378674816488845
1.0,random,,reaction_role_concat_delta,8192,random_forest,test,r2,0.9513246912991689
1.0,random,,reaction_role_concat_delta,8192,random_forest,test,spearman,0.971471850578261
