train_fraction,split_method,group_column,split,reaction_id,group_value
1.0,random,,train,reactions_618,
1.0,random,,train,reactions_430,
1.0,random,,train,reactions_3922,
1.0,random,,train,reactions_2290,
1.0,random,,train,reactions_2374,
1.0,random,,train,reactions_2730,
1.0,random,,train,reactions_3950,
1.0,random,,train,reactions_3643,
1.0,random,,train,reactions_773,
1.0,random,,train,reactions_3020,
1.0,random,,train,reactions_3218,
1.0,random,,train,reactions_3006,
1.0,random,,train,reactions_2488,
1.0,random,,train,reactions_1390,
1.0,random,,train,reactions_2626,
1.0,random,,train,reactions_2993,
1.0,random,,train,reactions_2127,
1.0,random,,train,reactions_1284,
1.0,random,,train,reactions_855,
1.0,random,,train,reactions_1667,
1.0,random,,train,reactions_2947,
1.0,random,,train,reactions_2833,
1.0,random,,train,reactions_3732,
1.0,random,,train,reactions_2007,
1.0,random,,train,reactions_3090,
1.0,random,,train,reactions_1071,
1.0,random,,train,reactions_1273,
1.0,random,,train,reactions_187,
1.0,random,,train,reactions_213,
1.0,random,,train,reactions_1142,
1.0,random,,train,reactions_3165,
1.0,random,,train,reactions_344,
1.0,random,,train,reactions_3935,
1.0,random,,train,reactions_175,
1.0,random,,train,reactions_2403,
1.0,random,,train,reactions_2975,
1.0,random,,train,reactions_3522,
1.0,random,,train,reactions_3042,
1.0,random,,train,reactions_2087,
1.0,random,,train,reactions_2690,
1.0,random,,train,reactions_1763,
1.0,random,,train,reactions_3639,
1.0,random,,train,reactions_531,
1.0,random,,train,reactions_32,
1.0,random,,train,reactions_1445,
1.0,random,,train,reactions_3668,
1.0,random,,train,reactions_1054,
1.0,random,,train,reactions_3304,
1.0,random,,train,reactions_698,
1.0,random,,train,reactions_123,
1.0,random,,train,reactions_3365,
1.0,random,,train,reactions_661,
1.0,random,,train,reactions_2174,
1.0,random,,train,reactions_2604,
1.0,random,,train,reactions_3124,
1.0,random,,train,reactions_2972,
1.0,random,,train,reactions_471,
1.0,random,,train,reactions_2267,
1.0,random,,train,reactions_2659,
1.0,random,,train,reactions_3609,
1.0,random,,train,reactions_2551,
1.0,random,,train,reactions_770,
1.0,random,,train,reactions_1102,
1.0,random,,train,reactions_1441,
1.0,random,,train,reactions_3200,
1.0,random,,train,reactions_1876,
1.0,random,,train,reactions_2435,
1.0,random,,train,reactions_1398,
1.0,random,,train,reactions_629,
1.0,random,,train,reactions_2287,
1.0,random,,train,reactions_3126,
1.0,random,,train,reactions_410,
1.0,random,,train,reactions_1129,
1.0,random,,train,reactions_1893,
1.0,random,,train,reactions_3802,
1.0,random,,train,reactions_2680,
1.0,random,,train,reactions_2323,
1.0,random,,train,reactions_3908,
1.0,random,,train,reactions_2506,
1.0,random,,train,reactions_2058,
