train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,valid,rmse,14.360707241721528
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,valid,mae,11.510938020729565
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,valid,r2,0.7030993343165056
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8553890815777055
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,test,rmse,20.497936667367096
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,test,mae,16.85130257659395
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,test,r2,0.5283630754184747
1.0,heldout_group,product_key,reaction_morgan_sum,2048,ridge,test,spearman,0.7606786855766657
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.797277913122178
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.346013114880298
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9334834726925831
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9626568614200266
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,test,rmse,20.810823063150682
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,test,mae,14.688069835071147
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,test,r2,0.5138547816348942
1.0,heldout_group,product_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.7373708503363063
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,valid,rmse,14.36087418177556
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,valid,mae,11.511118153510969
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,valid,r2,0.703092431466886
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,valid,spearman,0.8553084531320496
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,test,rmse,20.467227228932913
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,test,mae,16.856820438831914
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,test,r2,0.5297752034576597
1.0,heldout_group,product_key,reaction_role_concat,6144,ridge,test,spearman,0.7607074934780266
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,valid,rmse,6.616674037021655
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,valid,mae,4.283107401907821
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,valid,r2,0.9369712064675799
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9641602776732237
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,test,rmse,22.03361762193836
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,test,mae,15.64094120611631
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,test,r2,0.45504690751945187
1.0,heldout_group,product_key,reaction_role_concat,6144,random_forest,test,spearman,0.7137711532266043
