train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.137523078558432
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.200832484832294
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6593409241642636
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8268922059937913
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,20.440578534959396
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,17.12508114689513
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.4758872909529803
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.7718681948514197
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.525564926692764
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.271947524844363
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9366937545140859
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9608093086732686
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,17.800789097160013
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,12.77351657279279
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.60251857953288
1.0,heldout_group,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.8460057774067102
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,valid,rmse,15.137330706363118
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,valid,mae,12.200661958207059
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,valid,r2,0.6593495825051987
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,valid,spearman,0.8269047574238515
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,test,rmse,20.452666294429914
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,test,mae,17.115843869538246
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,test,r2,0.47526722811177424
1.0,heldout_group,reactant_key,reaction_role_concat,6144,ridge,test,spearman,0.7654478865184817
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,valid,rmse,6.49082372887347
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,valid,mae,4.262009936507815
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,valid,r2,0.9373660274425933
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9615821724878763
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,test,rmse,16.48723607348049
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,test,mae,11.915864896870463
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,test,r2,0.6590159720640805
1.0,heldout_group,reactant_key,reaction_role_concat,6144,random_forest,test,spearman,0.8721536174190389
