train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.01,random,,reaction_morgan_sum,2048,ridge,valid,rmse,28.82745710931139
0.01,random,,reaction_morgan_sum,2048,ridge,valid,mae,23.629307977157303
0.01,random,,reaction_morgan_sum,2048,ridge,valid,r2,-0.08289320453834903
0.01,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.3579654034565089
0.01,random,,reaction_morgan_sum,2048,ridge,test,rmse,28.666044960631655
0.01,random,,reaction_morgan_sum,2048,ridge,test,mae,22.762205058276052
0.01,random,,reaction_morgan_sum,2048,ridge,test,r2,-0.03560089780249753
0.01,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.38330039052939974
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,26.84179381192605
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,mae,22.292004148184496
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.06115038822797414
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.29205298232398
0.01,random,,reaction_morgan_sum,2048,random_forest,test,rmse,26.851890218132354
0.01,random,,reaction_morgan_sum,2048,random_forest,test,mae,22.147160389632592
0.01,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.09132916554931914
0.01,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.30472341613527104
0.05,random,,reaction_morgan_sum,2048,ridge,valid,rmse,17.79509215921479
0.05,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.779207064230231
0.05,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.587357988223546
0.05,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.7849439329096393
0.05,random,,reaction_morgan_sum,2048,ridge,test,rmse,15.85804254226351
0.05,random,,reaction_morgan_sum,2048,ridge,test,mae,12.872089023842957
0.05,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6830753494967852
0.05,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8454991196381542
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,15.241592142970411
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,mae,10.96505865315395
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.6972852163920796
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.8378276685157604
0.05,random,,reaction_morgan_sum,2048,random_forest,test,rmse,14.677953917412662
0.05,random,,reaction_morgan_sum,2048,random_forest,test,mae,10.833214007947932
0.05,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.728488704094281
0.05,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.8705922017294385
