evaluation_unit,seed,train_fraction,n_labeled_train,n_hidden_outer_train,n_validation,result_family,candidate_scope_mode,transfer_kind,generated_candidate_count,accepted_candidate_count,unique_accepted_identity_count,selected_candidate_count,rejected_observed_in_labeled_train,rejected_already_measured,rejected_quarantined_held_out_identity,rejected_source_identical,rejected_duplicate_synthetic,rejected_other,schema_version,candidate_scope_provenance,consults_complete_dataset,observed_identity_count,observed_identity_hash,global_identity_count,global_identity_hash,quarantine_identity_count,quarantine_identity_hash,quarantine_role,quarantine_overlap_with_observed_count
canonical-random:seed=0:fraction=0.01,0,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,anonymous,32,28,28,28,0,0,4,0,0,0,bh-candidate-scope-v1,explicit,False,32,71ad84ad805524312d2f58f00bc67ac52ff10f0e4e4cffeb2c363d841497f3cf,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.01,0,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,typed,25,22,22,22,0,0,3,0,0,0,bh-candidate-scope-v1,explicit,False,32,71ad84ad805524312d2f58f00bc67ac52ff10f0e4e4cffeb2c363d841497f3cf,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.01,0,0.01,32,3132,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,32,0,0,0,0,32,0,0,0,0,bh-candidate-scope-v1,explicit,True,32,71ad84ad805524312d2f58f00bc67ac52ff10f0e4e4cffeb2c363d841497f3cf,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.01,0,0.01,32,3132,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,25,0,0,0,0,25,0,0,0,0,bh-candidate-scope-v1,explicit,True,32,71ad84ad805524312d2f58f00bc67ac52ff10f0e4e4cffeb2c363d841497f3cf,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.05,0,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,117,117,117,9,0,26,0,7,0,bh-candidate-scope-v1,explicit,False,159,041b1edf57f99912625dfcd9d36afea6dbfe2085ec9021448f8d813cfa82f732,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.05,0,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,159,118,118,118,7,0,25,0,9,0,bh-candidate-scope-v1,explicit,False,159,041b1edf57f99912625dfcd9d36afea6dbfe2085ec9021448f8d813cfa82f732,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.05,0,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,041b1edf57f99912625dfcd9d36afea6dbfe2085ec9021448f8d813cfa82f732,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.05,0,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,041b1edf57f99912625dfcd9d36afea6dbfe2085ec9021448f8d813cfa82f732,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.1,0,0.1,317,2847,395,observed_only_condition_transfer,observed_only_low_data,anonymous,317,199,199,199,29,0,62,0,27,0,bh-candidate-scope-v1,explicit,False,317,e847704f637bdd3e7e7b52d3e5b7ecdaa1da912858d3b115b797f00ee85f05ac,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
canonical-random:seed=0:fraction=0.1,0,0.1,317,2847,395,observed_only_condition_transfer,observed_only_low_data,typed,317,197,197,197,24,0,66,0,30,0,bh-candidate-scope-v1,explicit,False,317,e847704f637bdd3e7e7b52d3e5b7ecdaa1da912858d3b115b797f00ee85f05ac,0,not_consulted,791,c64ee67c0684064b1d77a94c165ae4701550dc4a949a6393742bcf70c89db8eb,validation_or_outer_test_partition_identity,0
