evaluation_unit,seed,train_fraction,transfer_kind,accepted_candidate_count__globally_unmeasured_prospective,accepted_candidate_count__observed_only_low_data,unique_accepted_identity_count__globally_unmeasured_prospective,unique_accepted_identity_count__observed_only_low_data,pool_size_delta,pool_size_ratio
canonical-random:seed=0:fraction=0.01,0,0.01,anonymous,0,28,0,28,28,
canonical-random:seed=0:fraction=0.01,0,0.01,typed,0,22,0,22,22,
canonical-random:seed=0:fraction=0.05,0,0.05,anonymous,0,117,0,117,117,
canonical-random:seed=0:fraction=0.05,0,0.05,typed,0,118,0,118,118,
canonical-random:seed=0:fraction=0.1,0,0.1,anonymous,0,199,0,199,199,
canonical-random:seed=0:fraction=0.1,0,0.1,typed,0,197,0,197,197,
canonical-random:seed=1:fraction=0.01,1,0.01,anonymous,0,21,0,21,21,
canonical-random:seed=1:fraction=0.01,1,0.01,typed,0,20,0,20,20,
canonical-random:seed=1:fraction=0.05,1,0.05,anonymous,0,117,0,117,117,
canonical-random:seed=1:fraction=0.05,1,0.05,typed,0,117,0,117,117,
canonical-random:seed=1:fraction=0.1,1,0.1,anonymous,0,192,0,192,192,
canonical-random:seed=1:fraction=0.1,1,0.1,typed,0,196,0,196,196,
canonical-random:seed=2:fraction=0.01,2,0.01,anonymous,0,26,0,26,26,
canonical-random:seed=2:fraction=0.01,2,0.01,typed,0,20,0,20,20,
canonical-random:seed=2:fraction=0.05,2,0.05,anonymous,0,115,0,115,115,
canonical-random:seed=2:fraction=0.05,2,0.05,typed,0,118,0,118,118,
canonical-random:seed=2:fraction=0.1,2,0.1,anonymous,0,195,0,195,195,
canonical-random:seed=2:fraction=0.1,2,0.1,typed,0,206,0,206,206,
canonical-random:seed=3:fraction=0.01,3,0.01,anonymous,0,22,0,22,22,
canonical-random:seed=3:fraction=0.01,3,0.01,typed,0,12,0,12,12,
canonical-random:seed=3:fraction=0.05,3,0.05,anonymous,1,112,1,112,111,112.0
canonical-random:seed=3:fraction=0.05,3,0.05,typed,1,115,1,115,114,115.0
canonical-random:seed=3:fraction=0.1,3,0.1,anonymous,0,201,0,201,201,
canonical-random:seed=3:fraction=0.1,3,0.1,typed,0,205,0,205,205,
canonical-random:seed=4:fraction=0.01,4,0.01,anonymous,0,28,0,28,28,
canonical-random:seed=4:fraction=0.01,4,0.01,typed,0,25,0,25,25,
canonical-random:seed=4:fraction=0.05,4,0.05,anonymous,0,119,0,119,119,
canonical-random:seed=4:fraction=0.05,4,0.05,typed,0,116,0,116,116,
canonical-random:seed=4:fraction=0.1,4,0.1,anonymous,0,212,0,212,212,
canonical-random:seed=4:fraction=0.1,4,0.1,typed,0,209,0,209,209,
