schema_version,evaluation_unit,seed,train_fraction,dataset_hash,labeled_train_row_count,hidden_outer_train_row_count,validation_row_count,test_row_count,labeled_train_identity_count,hidden_outer_train_identity_count,labeled_train_identity_hash,hidden_outer_train_identity_hash,quarantine_identity_hash,labeled_train_source_id_hash
bh-low-data-partitions-v1,canonical-random:seed=0:fraction=0.01,0,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,bad85a321ef57591b46336a2e9a0fa5d7a54c40ad707d80472ca82c483857fae,9b5b99850de5c845d6a4d69f2706e3080743c93fef295180be33a48c0bcfdbc4,26aa87b1e1be0d691342ca5e99fe5650f5b0c6c0cf87386c2f39ef47d910a81f,c7af8804c250a6f8842d8cb3ab9cbdca70ca10fa3e4ca4eebe5d63753dfb93f2
bh-low-data-partitions-v1,canonical-random:seed=0:fraction=0.05,0,0.05,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,159,3005,395,396,159,3005,7e064e3b48a79e7eaeec24f88f3fec3df40c199ec1d42b49d2ee2d1db914b271,3907c2255a9e0ace8db1d0b14762f904f73ea381e8c7fc0e7e2a8f96d4352344,26aa87b1e1be0d691342ca5e99fe5650f5b0c6c0cf87386c2f39ef47d910a81f,8b852ab92e779218f21c96813124a8e5c46e16ad8688a1648900eb7d9114b972
bh-low-data-partitions-v1,canonical-random:seed=0:fraction=0.1,0,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,425da1ef305b17f0dd4441cce97e954dd055427f79e949f4ce8a73e19e263412,a2a6916ae46c74d7967b5db8207d4066fd7d283fb53be96b882c5cb1ee9be6b2,26aa87b1e1be0d691342ca5e99fe5650f5b0c6c0cf87386c2f39ef47d910a81f,a3ba06df16ad3b70797c6a0fe4db52fdbf1333015130b64e5250faaecd44b009
bh-low-data-partitions-v1,canonical-random:seed=1:fraction=0.01,1,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,b03a200fea03a4ddf9b3be638f7400f640275a31f5d6dad1f03b3301b202fdbe,0cb379f8833dd5aeb1f3ab8f596b2fbc6385cd553aa718b11618e8366d5789cb,3956ff3431b2365d6e57d337d5819f4f48d079204f81866af0ee3c9683628758,22f284218363af39fcb824f483902144dd4d824bf2266631e4f6706926668859
bh-low-data-partitions-v1,canonical-random:seed=1:fraction=0.05,1,0.05,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,159,3005,395,396,159,3005,523efffd5bfae0eea9c24f238b14588cc1e17017b0347e25e36c6ba6412b0e81,8ae8b1dd03c949517b8ba7e38f587398a915a4ba7dc1606ef4aef40088e37e80,3956ff3431b2365d6e57d337d5819f4f48d079204f81866af0ee3c9683628758,34fbeaf625912573beded73717fe9aca2eac44fc42d43c4c1253decaddc3dc45
bh-low-data-partitions-v1,canonical-random:seed=1:fraction=0.1,1,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,4495753b605b79bd9ba04fa874981f1fb868b6a3644f73a0ba096c7d45927410,b028b4d15a6b9a587daa5a8970c3b306f13d69e24ad6b8b4e1dbaddd7bb068d5,3956ff3431b2365d6e57d337d5819f4f48d079204f81866af0ee3c9683628758,68fdae5708f906f316618c62b634414903875906c4b13ba36196b888c1b925b6
bh-low-data-partitions-v1,canonical-random:seed=2:fraction=0.01,2,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,f6c307d6eb3c7cf913071d9457179f9ffe0e5801fa9cbfa9413d47699317ae13,fb5409d887a5054e3256950e7485fc0897b34ae9d7a7ae48a7ed4dd17476be5e,2e760f77d69262d6b150bf6aa1561e41c0bcafeab9234fa00058749f2aa1839c,eaf2957a648dc320f399ba705fcc967e587a40d09a37c4e751a0b6af1dff3096
bh-low-data-partitions-v1,canonical-random:seed=2:fraction=0.05,2,0.05,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,159,3005,395,396,159,3005,676f8fca78334c1d60d0f966f71ef16b59133fc1fe916f5e38a3fcba46f94fda,7878315a25fb590e91504c409572865c8dc53606cf6a594ff624602b1770457e,2e760f77d69262d6b150bf6aa1561e41c0bcafeab9234fa00058749f2aa1839c,784e9b6aca22a406e3ee18c64732941183e81205dfc7b750d42b0f5688b78c32
bh-low-data-partitions-v1,canonical-random:seed=2:fraction=0.1,2,0.1,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,317,2847,395,396,317,2847,415319a6eecbd91b73fa44597c3caf1e425492dbd01e260def420ac74a993497,32a7812475022300eafb6285342ec94a7c24af50d6145718dd4494eb127bba25,2e760f77d69262d6b150bf6aa1561e41c0bcafeab9234fa00058749f2aa1839c,6086ad122aa11aad51eb3b90220710b847ffa5ff7277d0285647a93606d2fdfe
bh-low-data-partitions-v1,canonical-random:seed=3:fraction=0.01,3,0.01,df61cb657747e7f7715ff93060b869550a154a435f6e325d84448477f161d365,32,3132,395,396,32,3132,c3851fb4d3da6a374f25e3c219deb38c6fc3166f03ce96e8e20871de2853c26d,8e28b8bda2a2b4a708585d33e26153708db21dc69386087910bb59c2b7e90dab,e8f48120ec5de2ad7915b7760f9b171550b7382567d3e5ed06ba064c9e07994c,a89e7d0d0d4337a5665bb1246b39f2a4b517c85e80e76417b346cf4381da6dba
