evaluation_unit,seed,train_fraction,n_labeled_train,n_hidden_outer_train,n_validation,result_family,candidate_scope_mode,transfer_kind,generated_candidate_count,accepted_candidate_count,unique_accepted_identity_count,selected_candidate_count,rejected_observed_in_labeled_train,rejected_already_measured,rejected_quarantined_held_out_identity,rejected_source_identical,rejected_duplicate_synthetic,rejected_other,schema_version,candidate_scope_provenance,consults_complete_dataset,observed_identity_count,observed_identity_hash,global_identity_count,global_identity_hash,quarantine_identity_count,quarantine_identity_hash,quarantine_role,quarantine_overlap_with_observed_count
canonical-random:seed=6:fraction=0.01,6,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,anonymous,32,22,22,22,0,0,10,0,0,0,bh-candidate-scope-v1,explicit,False,32,100c3062e5d828c3a56fbb6512ddbdd5f13576691e393d7b8a6b50c43fe7bc0b,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.01,6,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,typed,22,16,16,16,0,0,6,0,0,0,bh-candidate-scope-v1,explicit,False,32,100c3062e5d828c3a56fbb6512ddbdd5f13576691e393d7b8a6b50c43fe7bc0b,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.01,6,0.01,32,3132,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,32,0,0,0,0,32,0,0,0,0,bh-candidate-scope-v1,explicit,True,32,100c3062e5d828c3a56fbb6512ddbdd5f13576691e393d7b8a6b50c43fe7bc0b,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.01,6,0.01,32,3132,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,22,0,0,0,0,22,0,0,0,0,bh-candidate-scope-v1,explicit,True,32,100c3062e5d828c3a56fbb6512ddbdd5f13576691e393d7b8a6b50c43fe7bc0b,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.1,6,0.1,317,2847,395,observed_only_condition_transfer,observed_only_low_data,anonymous,317,212,212,212,26,0,52,0,27,0,bh-candidate-scope-v1,explicit,False,317,455127fb242438a7a98742a052ab908710c1285d938812fce5d4bfaf5fa8c7d7,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.1,6,0.1,317,2847,395,observed_only_condition_transfer,observed_only_low_data,typed,317,216,216,216,23,0,51,0,27,0,bh-candidate-scope-v1,explicit,False,317,455127fb242438a7a98742a052ab908710c1285d938812fce5d4bfaf5fa8c7d7,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.1,6,0.1,317,2847,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,317,3,3,3,0,314,0,0,0,0,bh-candidate-scope-v1,explicit,True,317,455127fb242438a7a98742a052ab908710c1285d938812fce5d4bfaf5fa8c7d7,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.1,6,0.1,317,2847,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,317,2,2,2,0,315,0,0,0,0,bh-candidate-scope-v1,explicit,True,317,455127fb242438a7a98742a052ab908710c1285d938812fce5d4bfaf5fa8c7d7,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.01,7,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,anonymous,32,24,24,24,2,0,5,0,1,0,bh-candidate-scope-v1,explicit,False,32,c5828c500b9a130b123f02b8da73f45e95e5af90771e979d621fddf4659e348a,0,not_consulted,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.01,7,0.01,32,3132,395,observed_only_condition_transfer,observed_only_low_data,typed,21,16,16,16,2,0,2,0,1,0,bh-candidate-scope-v1,explicit,False,32,c5828c500b9a130b123f02b8da73f45e95e5af90771e979d621fddf4659e348a,0,not_consulted,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
