evaluation_unit,seed,train_fraction,transfer_kind,accepted_candidate_count__globally_unmeasured_prospective,accepted_candidate_count__observed_only_low_data,unique_accepted_identity_count__globally_unmeasured_prospective,unique_accepted_identity_count__observed_only_low_data,pool_size_delta,pool_size_ratio
canonical-random:seed=10:fraction=0.01,10,0.01,anonymous,0,23,0,23,23,
canonical-random:seed=10:fraction=0.01,10,0.01,typed,0,19,0,19,19,
canonical-random:seed=10:fraction=0.1,10,0.1,anonymous,0,196,0,196,196,
canonical-random:seed=10:fraction=0.1,10,0.1,typed,0,193,0,193,193,
canonical-random:seed=11:fraction=0.01,11,0.01,anonymous,0,25,0,25,25,
canonical-random:seed=11:fraction=0.01,11,0.01,typed,0,19,0,19,19,
canonical-random:seed=11:fraction=0.1,11,0.1,anonymous,0,185,0,185,185,
canonical-random:seed=11:fraction=0.1,11,0.1,typed,0,184,0,184,184,
canonical-random:seed=12:fraction=0.01,12,0.01,anonymous,0,27,0,27,27,
canonical-random:seed=12:fraction=0.01,12,0.01,typed,0,17,0,17,17,
canonical-random:seed=12:fraction=0.1,12,0.1,anonymous,0,194,0,194,194,
canonical-random:seed=12:fraction=0.1,12,0.1,typed,0,198,0,198,198,
canonical-random:seed=13:fraction=0.01,13,0.01,anonymous,0,26,0,26,26,
canonical-random:seed=13:fraction=0.01,13,0.01,typed,0,19,0,19,19,
canonical-random:seed=13:fraction=0.1,13,0.1,anonymous,0,204,0,204,204,
canonical-random:seed=13:fraction=0.1,13,0.1,typed,1,194,1,194,193,194.0
canonical-random:seed=14:fraction=0.01,14,0.01,anonymous,0,25,0,25,25,
canonical-random:seed=14:fraction=0.01,14,0.01,typed,0,13,0,13,13,
canonical-random:seed=14:fraction=0.1,14,0.1,anonymous,1,209,1,209,208,209.0
canonical-random:seed=14:fraction=0.1,14,0.1,typed,1,210,1,210,209,210.0
canonical-random:seed=6:fraction=0.01,6,0.01,anonymous,0,22,0,22,22,
canonical-random:seed=6:fraction=0.01,6,0.01,typed,0,16,0,16,16,
canonical-random:seed=6:fraction=0.1,6,0.1,anonymous,3,212,3,212,209,70.66666666666667
canonical-random:seed=6:fraction=0.1,6,0.1,typed,2,216,2,216,214,108.0
canonical-random:seed=7:fraction=0.01,7,0.01,anonymous,0,24,0,24,24,
canonical-random:seed=7:fraction=0.01,7,0.01,typed,0,16,0,16,16,
canonical-random:seed=7:fraction=0.1,7,0.1,anonymous,0,201,0,201,201,
canonical-random:seed=7:fraction=0.1,7,0.1,typed,1,201,1,201,200,201.0
canonical-random:seed=8:fraction=0.01,8,0.01,anonymous,0,27,0,27,27,
canonical-random:seed=8:fraction=0.01,8,0.01,typed,0,16,0,16,16,
canonical-random:seed=8:fraction=0.1,8,0.1,anonymous,0,203,0,203,203,
canonical-random:seed=8:fraction=0.1,8,0.1,typed,0,202,0,202,202,
canonical-random:seed=9:fraction=0.01,9,0.01,anonymous,0,24,0,24,24,
canonical-random:seed=9:fraction=0.01,9,0.01,typed,0,17,0,17,17,
canonical-random:seed=9:fraction=0.1,9,0.1,anonymous,1,193,1,193,192,193.0
canonical-random:seed=9:fraction=0.1,9,0.1,typed,2,191,2,191,189,95.5
