seed,transfer_kind,result_family,schema_version,evaluation_unit,train_fraction,candidate_scope_mode,generated_candidate_count,candidate_identity_hash,pseudo_label_hash,frozen_hash,high_yield_threshold,hidden_outer_train_row_count,hidden_outer_train_identity_count,unique_canonical_candidate_count,hidden_overlap_count,hidden_overlap_fraction_of_candidates,hidden_cell_coverage_fraction,pseudo_label_mae,pseudo_label_rmse,pseudo_label_spearman,pseudo_label_bias,high_yield_prevalence,high_yield_precision,high_yield_recall,high_yield_enrichment,top_10pct_enrichment,top_10pct_mean_true_yield,top_20pct_enrichment,top_20pct_mean_true_yield,support_distance_metric,nearest_labeled_training_distance_mean,nearest_labeled_training_distance_median,nearest_labeled_training_similarity_mean,nearest_labeled_training_similarity_median
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.01,0.01,observed_only_low_data,22,2415200ed7c955b01485fc22d8c86872d03c64163ad52419399840b7f80c379f,f3e070ca9040978b2433a91512438f353007a61c6d8e424da593f2d0e5549451,9a59e78a780591b7a014177a282d453f67f2e787b3c4c4d50b178d514d9ec851,80.0,3132,3132,22,22,1.0,0.0070242656449553,17.563593396014014,21.689669921126264,0.5471485036702428,8.961924873086451,0.045454545454545456,0.0,0.0,0.0,7.333333333333333,70.52264542333333,4.4,53.515516872,cosine_distance,0.09130885830387117,0.09403398296669341,0.9086911416961289,0.9059660170333066
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.01,0.01,observed_only_low_data,16,551955145c7f52e978d7f6edb02117731f61a24b76ff3fdae1f5dda894642976,63b5cf5b45f0d7c3ca1860a81c7e57fb6da027d567fec60fa21d82c727dbd605,f374cfa9fd53eb4b3982aaf4deda680fe68b352882f7656b37d1ce515a58b852,80.0,3132,3132,16,16,1.0,0.005108556832694764,18.640306164820824,23.58997781228551,0.5,10.112842472472538,0.0625,0.0,0.0,0.0,8.0,69.24307814,4.0,57.136580585,euclidean_distance,5.213920682668686,5.2438273429870605,,
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,47287ac97f42c6ba2cfa82fb0f174bc56f52a325c582f763634795316324e3ca,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,47287ac97f42c6ba2cfa82fb0f174bc56f52a325c582f763634795316324e3ca,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.1,0.1,observed_only_low_data,212,c44531ade2e2327b8443c738733562817c7236ff745b02296236c23e2ce4bac3,b728dec39f706341624b2ec56dc0362073e0ce9751c83db635c0563253cb8c99,b390247573c07e89a3842daf11d358011d42d752e2f2eba0a1c5eb4201574df6,80.0,2847,2847,212,209,0.9858490566037735,0.073410607657183,10.45609088639294,15.303172265525037,0.783304808833574,-1.4645678874241743,0.019138755980861243,,0.0,,2.488095238095238,64.05420091238095,3.732142857142857,59.119622787619036,cosine_distance,0.06866953098623135,0.07072963970931956,0.9313304690137685,0.9292703602906804
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.1,0.1,observed_only_low_data,216,38f81c270954303f8cc7a5d512b239571be5767ba013ea051c40d208ad4203d6,0c47cb33834b0732e0121aa6afebb4af875534e9c75d2f3d67e8d8fb7dddc3fd,89974d1b233c4636fce563ac84f24cdb0165007c733b1e9820e162fd3c72eaff,80.0,2847,2847,216,214,0.9907407407407407,0.07516684229012996,10.859006621971917,16.085434446816492,0.7790166942608338,-1.1356105913378212,0.028037383177570093,0.25,0.16666666666666666,8.916666666666666,3.2424242424242427,63.94283480727274,3.317829457364341,60.15292493162791,euclidean_distance,4.64722988761474,4.795831680297852,,
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.1,0.1,globally_unmeasured_prospective,3,cb75095d16ed4f488def121063b47a0da1a8aa05507ef743981daa06a416ef87,95d5ab80b2b0dfe08d76aeb08bc82272bbbf3f64c96e7c2a2eb8a07332885ab9,cffedcecdd1e92a02632c8b1e1d1cac327a4a388834466f0557f2b6b44779ead,80.0,2847,2847,3,0,0.0,0.0,,,,,,,,,,,,,,,,,
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.1,0.1,globally_unmeasured_prospective,2,12918d5079586b583f7d7a01227bbfb39f33890b2ab42cf8c5de291550ed1fac,feeef72045a83c251062ce659b2105c8a4593590b23732b269cf8e3f96b9d96d,2370fa05d8902fff6c7f11627774b4e4d12e658814a58b374b8953057d0098cd,80.0,2847,2847,2,0,0.0,0.0,,,,,,,,,,,,,,,,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.01,0.01,observed_only_low_data,24,bf982f906210fcb7ef664a522da81e26bd5ee4358cd6c132bd4efff392431452,1c5d040a89e01d68fa084d6ecb96c5d3a2df26250a33f0131845b2f6da935772,116de0f1c2bf789558d76a87955889827af046d86e7e0356cea172a93e587919,80.0,3132,3132,24,24,1.0,0.007662835249042145,15.035180662502633,18.379903024622774,0.5539130434782608,3.75623970328011,0.0,,,,,60.885541636666666,,48.998734874,cosine_distance,0.10094115725283553,0.09065875045640437,0.8990588427471645,0.9093412495435956
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.01,0.01,observed_only_low_data,16,e2450b879640dd1f82c2cded44bec0c24359ed9a5caa89dc6b4851ea77f62333,b636a8248843d0246b0b575dae0f47f0a2208ae4deab76de43bfeb17cba92ef4,b40554ebd43ab3f3bc183598659abfb9d7b212eed8b5d4ca2eada9201cc1052b,80.0,3132,3132,16,16,1.0,0.005108556832694764,13.472947923977951,17.33668050535793,0.6558823529411765,3.395039956960014,0.0,,,,,46.20368434,,47.66656936500001,euclidean_distance,5.332851439714432,5.385164737701416,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,d564abfb40a3f7d092d91a319c1ea6200215a25d4293b1bd5e25f07f8b79ad8e,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,d564abfb40a3f7d092d91a319c1ea6200215a25d4293b1bd5e25f07f8b79ad8e,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.1,0.1,observed_only_low_data,201,1223714223873c01ddafabcc931c45c8a9780925d8c5f0aae35435dde5b446d1,2a81db4ef067cb41c5d1631833cc2304496f50b29ee3c7cf056d977177e6d78a,ab5ed44fbe3da4f3f7b0fa4ac791d27b85983492d9892408dbe04488ae7b0c8d,80.0,2847,2847,201,201,1.0,0.07060063224446786,10.404381471684884,15.228558859907523,0.8388775750135643,-3.717797331819356,0.04477611940298507,,0.0,,4.253968253968254,69.70688834,3.268292682926829,64.5171748552439,cosine_distance,0.06942009996918429,0.07135025392929062,0.9305799000308158,0.9286497460707094
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.1,0.1,observed_only_low_data,201,1bc2fb750395aca6102e91f9fba493991e02b0ed725b71e6a63ce86d2611e53e,2fa653018f2bf26187f87b7116d50469fe8f204445a57c7581e6d233912d0b26,6830bf9bf24b591d655c17fd0ff4f0d82afda0ea33f842baeaa07090c2ccea2f,80.0,2847,2847,201,200,0.9950248756218906,0.07024938531787847,10.584334160098331,15.160209633743078,0.8435825516328014,-4.136836850111142,0.05,,0.0,,5.0,70.84662986499998,2.9999999999999996,64.6578319415,euclidean_distance,4.652224936485291,4.63649582862854,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.1,0.1,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,d34eaa832696537b8bcd167f4567834fbb685164de796d2177983c1c4f1cecf5,80.0,2847,2847,0,0,,0.0,,,,,,,,,,,,,,,,,
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.1,0.1,globally_unmeasured_prospective,1,d5df96c943224d9ba68ffa2157c952440722c3991fd4b734f49fce77a2cde28b,9895af473450908ca7bb3c82c22c3e960f1f2a86c7e39054d8305da3e5c56d22,1e9de889a47bfd945e0de218bc0750e8b6e9bc3bf53bf2aeca01f96ad3f56885,80.0,2847,2847,1,0,0.0,0.0,,,,,,,,,,,,,,,,,
8,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.01,0.01,observed_only_low_data,27,6b4d1e2b42115702f613786246abc13852f21ffd49791aa08470783b85db9ce1,c96c7a1ee875eceeca65ba557f217567a4a934c1f5841943fab7765c1454ea16,f5405474c7fe5b93b36b3ab04f26f7c753ee6f5bc3b78ccdde6808c3bf4b9c53,80.0,3132,3132,27,27,1.0,0.008620689655172414,10.24083061075667,13.837198615570545,0.8277338135738362,-2.285849241830896,0.0,,,,,60.20164125,,66.165592595,cosine_distance,0.09487054798325291,0.09690691629203685,0.9051294520167471,0.9030930837079632
8,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.01,0.01,observed_only_low_data,16,ee025b17668f91e15e2ff364a4ced540f6ac32d6b2f53925fc0e400a4c20dcc6,1473372587ed7ddac0bfe71d954c982d398152533d0c404b740cf3b3b405042c,7b1a155ef76ae1e452b4c5373327aa0b2c892247cb9a7bf842a19d07efd4d0f8,80.0,3132,3132,16,16,1.0,0.005108556832694764,10.011503386447028,13.806419807482548,0.7581153928222084,0.7793709730859868,0.0,,,,,58.735126040000004,,57.02946192,euclidean_distance,5.322746515274048,5.567039966583252,,
8,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,0b6276e96f4cf7c7124b95921e6f44ccf4f016f24407db855ca1736dacbfbdcf,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
8,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.01,0.01,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,0b6276e96f4cf7c7124b95921e6f44ccf4f016f24407db855ca1736dacbfbdcf,80.0,3132,3132,0,0,,0.0,,,,,,,,,,,,,,,,,
