evaluation_unit,seed,train_fraction,n_labeled_train,n_hidden_outer_train,n_validation,result_family,candidate_scope_mode,transfer_kind,generated_candidate_count,accepted_candidate_count,unique_accepted_identity_count,selected_candidate_count,rejected_observed_in_labeled_train,rejected_already_measured,rejected_quarantined_held_out_identity,rejected_source_identical,rejected_duplicate_synthetic,rejected_other,schema_version,candidate_scope_provenance,consults_complete_dataset,observed_identity_count,observed_identity_hash,global_identity_count,global_identity_hash,quarantine_identity_count,quarantine_identity_hash,quarantine_role,quarantine_overlap_with_observed_count
canonical-random:seed=6:fraction=0.05,6,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,125,125,125,5,0,21,0,8,0,bh-candidate-scope-v1,explicit,False,159,96cd673c7994c95d326cc5911466857f2a5d11fbe2c23133c91fc8bc734d8fef,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.05,6,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,154,116,116,116,5,0,23,0,10,0,bh-candidate-scope-v1,explicit,False,159,96cd673c7994c95d326cc5911466857f2a5d11fbe2c23133c91fc8bc734d8fef,0,not_consulted,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.05,6,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,2,2,2,0,157,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,96cd673c7994c95d326cc5911466857f2a5d11fbe2c23133c91fc8bc734d8fef,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=6:fraction=0.05,6,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,154,2,2,2,0,152,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,96cd673c7994c95d326cc5911466857f2a5d11fbe2c23133c91fc8bc734d8fef,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,83216d42bf3cc6fad1bd8b20e20bf1c514253be6d61d61ea6775f791ca8aecd7,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.05,7,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,109,109,109,7,0,34,0,9,0,bh-candidate-scope-v1,explicit,False,159,e0a8a38a11affa6d051f9ea3cb6d91abb9d207b6f79875ca6e19e89069410a2f,0,not_consulted,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.05,7,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,158,116,116,116,5,0,29,0,8,0,bh-candidate-scope-v1,explicit,False,159,e0a8a38a11affa6d051f9ea3cb6d91abb9d207b6f79875ca6e19e89069410a2f,0,not_consulted,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.05,7,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,e0a8a38a11affa6d051f9ea3cb6d91abb9d207b6f79875ca6e19e89069410a2f,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
canonical-random:seed=7:fraction=0.05,7,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,158,0,0,0,0,158,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,e0a8a38a11affa6d051f9ea3cb6d91abb9d207b6f79875ca6e19e89069410a2f,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,8ec649363af680f9fbd9b4d98aba4a79dfa34310e767ab5f6b4dabce1403bf8e,validation_or_outer_test_partition_identity,0
canonical-random:seed=8:fraction=0.05,8,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,119,119,119,12,0,25,0,3,0,bh-candidate-scope-v1,explicit,False,159,71e57ba590f8ddc683c702c14d6ba8219caba669f6999c93426f8e8ed6ba4439,0,not_consulted,791,c707fb58d06bf74ff194b0a151bb8680d3e77f79388859d98639faf873af8f03,validation_or_outer_test_partition_identity,0
canonical-random:seed=8:fraction=0.05,8,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,159,117,117,117,10,0,27,0,5,0,bh-candidate-scope-v1,explicit,False,159,71e57ba590f8ddc683c702c14d6ba8219caba669f6999c93426f8e8ed6ba4439,0,not_consulted,791,c707fb58d06bf74ff194b0a151bb8680d3e77f79388859d98639faf873af8f03,validation_or_outer_test_partition_identity,0
canonical-random:seed=8:fraction=0.05,8,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,71e57ba590f8ddc683c702c14d6ba8219caba669f6999c93426f8e8ed6ba4439,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c707fb58d06bf74ff194b0a151bb8680d3e77f79388859d98639faf873af8f03,validation_or_outer_test_partition_identity,0
canonical-random:seed=8:fraction=0.05,8,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,159,1,1,1,0,158,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,71e57ba590f8ddc683c702c14d6ba8219caba669f6999c93426f8e8ed6ba4439,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,c707fb58d06bf74ff194b0a151bb8680d3e77f79388859d98639faf873af8f03,validation_or_outer_test_partition_identity,0
canonical-random:seed=9:fraction=0.05,9,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,101,101,101,17,0,37,0,4,0,bh-candidate-scope-v1,explicit,False,159,c001bc835a18a5971b463f750ee6edf497bf4a2e7a03d078e80a3ffa4c9347b6,0,not_consulted,791,90d0f892f980a615f6b872231d539023a5437098d89ebe9d8dab12f33c391b05,validation_or_outer_test_partition_identity,0
canonical-random:seed=9:fraction=0.05,9,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,157,100,100,100,13,0,39,0,5,0,bh-candidate-scope-v1,explicit,False,159,c001bc835a18a5971b463f750ee6edf497bf4a2e7a03d078e80a3ffa4c9347b6,0,not_consulted,791,90d0f892f980a615f6b872231d539023a5437098d89ebe9d8dab12f33c391b05,validation_or_outer_test_partition_identity,0
canonical-random:seed=9:fraction=0.05,9,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,c001bc835a18a5971b463f750ee6edf497bf4a2e7a03d078e80a3ffa4c9347b6,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,90d0f892f980a615f6b872231d539023a5437098d89ebe9d8dab12f33c391b05,validation_or_outer_test_partition_identity,0
canonical-random:seed=9:fraction=0.05,9,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,157,0,0,0,0,157,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,c001bc835a18a5971b463f750ee6edf497bf4a2e7a03d078e80a3ffa4c9347b6,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,90d0f892f980a615f6b872231d539023a5437098d89ebe9d8dab12f33c391b05,validation_or_outer_test_partition_identity,0
canonical-random:seed=10:fraction=0.05,10,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,108,108,108,11,0,30,0,10,0,bh-candidate-scope-v1,explicit,False,159,011e099400743a132ef55e2ea6ed42fc55866ac18d266cf3b0c4f6d5d4c19f3e,0,not_consulted,791,430ca7c2a343fda725933bcf3c9b973e5646e66d25c0b0a32b8543dd48787c54,validation_or_outer_test_partition_identity,0
canonical-random:seed=10:fraction=0.05,10,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,158,103,103,103,16,0,32,0,7,0,bh-candidate-scope-v1,explicit,False,159,011e099400743a132ef55e2ea6ed42fc55866ac18d266cf3b0c4f6d5d4c19f3e,0,not_consulted,791,430ca7c2a343fda725933bcf3c9b973e5646e66d25c0b0a32b8543dd48787c54,validation_or_outer_test_partition_identity,0
canonical-random:seed=10:fraction=0.05,10,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,011e099400743a132ef55e2ea6ed42fc55866ac18d266cf3b0c4f6d5d4c19f3e,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,430ca7c2a343fda725933bcf3c9b973e5646e66d25c0b0a32b8543dd48787c54,validation_or_outer_test_partition_identity,0
canonical-random:seed=10:fraction=0.05,10,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,158,0,0,0,0,158,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,011e099400743a132ef55e2ea6ed42fc55866ac18d266cf3b0c4f6d5d4c19f3e,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,430ca7c2a343fda725933bcf3c9b973e5646e66d25c0b0a32b8543dd48787c54,validation_or_outer_test_partition_identity,0
canonical-random:seed=11:fraction=0.05,11,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,110,110,110,11,0,32,0,6,0,bh-candidate-scope-v1,explicit,False,159,3702a1339b36e441f8ceac2f7bddb34af63850cfb191ffadd76de6b7414925f5,0,not_consulted,791,eaf5496789aec64f6dd81207f675c6721215ca22a790b9fa9ae5f19fe2b83ba7,validation_or_outer_test_partition_identity,0
canonical-random:seed=11:fraction=0.05,11,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,156,104,104,104,15,0,33,0,4,0,bh-candidate-scope-v1,explicit,False,159,3702a1339b36e441f8ceac2f7bddb34af63850cfb191ffadd76de6b7414925f5,0,not_consulted,791,eaf5496789aec64f6dd81207f675c6721215ca22a790b9fa9ae5f19fe2b83ba7,validation_or_outer_test_partition_identity,0
canonical-random:seed=11:fraction=0.05,11,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,3702a1339b36e441f8ceac2f7bddb34af63850cfb191ffadd76de6b7414925f5,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,eaf5496789aec64f6dd81207f675c6721215ca22a790b9fa9ae5f19fe2b83ba7,validation_or_outer_test_partition_identity,0
canonical-random:seed=11:fraction=0.05,11,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,156,0,0,0,0,156,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,3702a1339b36e441f8ceac2f7bddb34af63850cfb191ffadd76de6b7414925f5,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,eaf5496789aec64f6dd81207f675c6721215ca22a790b9fa9ae5f19fe2b83ba7,validation_or_outer_test_partition_identity,0
canonical-random:seed=12:fraction=0.05,12,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,anonymous,159,104,104,104,15,0,34,0,6,0,bh-candidate-scope-v1,explicit,False,159,03ff3b36b90fea0daf2185c3b52e167d17f9648542fbd048c04d66fe97a6572b,0,not_consulted,791,a1b42f0b130b25d5afa5e3c773d1ee31b8570949984c2702ef5185c1eb9e0d69,validation_or_outer_test_partition_identity,0
canonical-random:seed=12:fraction=0.05,12,0.05,159,3005,395,observed_only_condition_transfer,observed_only_low_data,typed,159,104,104,104,13,0,33,0,9,0,bh-candidate-scope-v1,explicit,False,159,03ff3b36b90fea0daf2185c3b52e167d17f9648542fbd048c04d66fe97a6572b,0,not_consulted,791,a1b42f0b130b25d5afa5e3c773d1ee31b8570949984c2702ef5185c1eb9e0d69,validation_or_outer_test_partition_identity,0
canonical-random:seed=12:fraction=0.05,12,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,anonymous,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,03ff3b36b90fea0daf2185c3b52e167d17f9648542fbd048c04d66fe97a6572b,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,a1b42f0b130b25d5afa5e3c773d1ee31b8570949984c2702ef5185c1eb9e0d69,validation_or_outer_test_partition_identity,0
canonical-random:seed=12:fraction=0.05,12,0.05,159,3005,395,globally_unmeasured_condition_transfer,globally_unmeasured_prospective,typed,159,0,0,0,0,159,0,0,0,0,bh-candidate-scope-v1,explicit,True,159,03ff3b36b90fea0daf2185c3b52e167d17f9648542fbd048c04d66fe97a6572b,3955,5a5e3f74e3df8a98957d7dfcbec9bfcd886ecc5518ea3c101f3bece27c30ca13,791,a1b42f0b130b25d5afa5e3c773d1ee31b8570949984c2702ef5185c1eb9e0d69,validation_or_outer_test_partition_identity,0
