evaluation_unit,seed,train_fraction,transfer_kind,accepted_candidate_count__globally_unmeasured_prospective,accepted_candidate_count__observed_only_low_data,unique_accepted_identity_count__globally_unmeasured_prospective,unique_accepted_identity_count__observed_only_low_data,pool_size_delta,pool_size_ratio
canonical-random:seed=10:fraction=0.05,10,0.05,anonymous,0,108,0,108,108,
canonical-random:seed=10:fraction=0.05,10,0.05,typed,0,103,0,103,103,
canonical-random:seed=11:fraction=0.05,11,0.05,anonymous,0,110,0,110,110,
canonical-random:seed=11:fraction=0.05,11,0.05,typed,0,104,0,104,104,
canonical-random:seed=12:fraction=0.05,12,0.05,anonymous,0,104,0,104,104,
canonical-random:seed=12:fraction=0.05,12,0.05,typed,0,104,0,104,104,
canonical-random:seed=13:fraction=0.05,13,0.05,anonymous,0,113,0,113,113,
canonical-random:seed=13:fraction=0.05,13,0.05,typed,0,111,0,111,111,
canonical-random:seed=14:fraction=0.05,14,0.05,anonymous,0,110,0,110,110,
canonical-random:seed=14:fraction=0.05,14,0.05,typed,0,111,0,111,111,
canonical-random:seed=6:fraction=0.05,6,0.05,anonymous,2,125,2,125,123,62.5
canonical-random:seed=6:fraction=0.05,6,0.05,typed,2,116,2,116,114,58.0
canonical-random:seed=7:fraction=0.05,7,0.05,anonymous,0,109,0,109,109,
canonical-random:seed=7:fraction=0.05,7,0.05,typed,0,116,0,116,116,
canonical-random:seed=8:fraction=0.05,8,0.05,anonymous,0,119,0,119,119,
canonical-random:seed=8:fraction=0.05,8,0.05,typed,1,117,1,117,116,117.0
canonical-random:seed=9:fraction=0.05,9,0.05,anonymous,0,101,0,101,101,
canonical-random:seed=9:fraction=0.05,9,0.05,typed,0,100,0,100,100,
