seed,transfer_kind,result_family,schema_version,evaluation_unit,train_fraction,candidate_scope_mode,generated_candidate_count,candidate_identity_hash,pseudo_label_hash,frozen_hash,high_yield_threshold,hidden_outer_train_row_count,hidden_outer_train_identity_count,unique_canonical_candidate_count,hidden_overlap_count,hidden_overlap_fraction_of_candidates,hidden_cell_coverage_fraction,pseudo_label_mae,pseudo_label_rmse,pseudo_label_spearman,pseudo_label_bias,high_yield_prevalence,high_yield_precision,high_yield_recall,high_yield_enrichment,top_10pct_enrichment,top_10pct_mean_true_yield,top_20pct_enrichment,top_20pct_mean_true_yield,support_distance_metric,nearest_labeled_training_distance_mean,nearest_labeled_training_distance_median,nearest_labeled_training_similarity_mean,nearest_labeled_training_similarity_median
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.05,0.05,observed_only_low_data,125,b8636c3e485f8a1bcf787e1d0233069f7c9b7d0f6c2b1dc192ef6158a303f7d9,1690fd2a951f6c32833cf48d56ac5878d85b6a0bbdc9474354a95d598c361fa6,3a76feef81074875ee713c04f257a97b25daabddaaf4d78d61c2e51c9f64b0eb,80.0,3005,3005,125,123,0.984,0.040931780366056575,12.22167610740635,16.944793890922973,0.7009269407319908,1.6120492260659642,0.008130081300813009,,0.0,,9.461538461538462,56.13006425,4.92,55.3812571736,cosine_distance,0.08220811170921193,0.08412835960599552,0.9177918882907881,0.9158716403940045
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.05,0.05,observed_only_low_data,116,e1c7e7df028e7683a292d084d0ba55cbaa8a995a59988f155b9130627c00dc91,b64149efa52412c7e4da405106d1a1a889fff9614525d74fa52c43dab31c1c75,7d1fcd6968621ab2f145cc910400ed67b38028a27e0adc03f72f63bbde7be891,80.0,3005,3005,116,114,0.9827586206896551,0.03793677204658902,11.319813211187881,16.327040937367922,0.7490415693972837,0.5244466046560604,0.07017543859649122,1.0,0.375,14.25,8.312500000000002,69.38288266333332,4.336956521739131,64.19312640826087,euclidean_distance,5.0611970257340815,5.2438273429870605,,
6,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.05,0.05,globally_unmeasured_prospective,2,12918d5079586b583f7d7a01227bbfb39f33890b2ab42cf8c5de291550ed1fac,d10744b90ed2dbec81f53848d460012360b1d2157309b4e07d91cd98e8e27dad,5d6b33dab64c7b4768f531ba082f53747338ddc2b3939e24b2b6db3b1c6a91a9,80.0,3005,3005,2,0,0.0,0.0,,,,,,,,,,,,,,,,,
6,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=6:fraction=0.05,0.05,globally_unmeasured_prospective,2,12918d5079586b583f7d7a01227bbfb39f33890b2ab42cf8c5de291550ed1fac,64d35a3b6117f57df95b6d80d487c4a6610f9a04761f713a15c9ff709b7cce78,29c8834a99a9e8eccd735350224ae80beea46ca81cf3c73e01a2e1ee4383ef22,80.0,3005,3005,2,0,0.0,0.0,,,,,,,,,,,,,,,,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.05,0.05,observed_only_low_data,109,034e7548c8d532210a88b555eaa30d3e6370e53d406d05c7232058dc8d8756b9,5110a9e6c3cc9ccf0d164139f510c365fa37803dc1620622afe372eae61354bd,fc15ae789eb345a669b55a355bce1e588a2c95b94ae435fee160f5a1c46c0feb,80.0,3005,3005,109,109,1.0,0.03627287853577371,12.55210872169523,16.989937704867643,0.7417948216783541,-2.649870211328547,0.06422018348623854,,0.0,,5.662337662337662,70.12270177272728,4.246753246753246,63.46109920681818,cosine_distance,0.07391391435406229,0.07899430615482173,0.9260860856459376,0.9210056938451783
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.05,0.05,observed_only_low_data,116,2a1ac301bcc90300e46f265e1dda7f45939a98b521614fffa09577f2bd42e29c,aa8ccc10cdd1519ad26a903d9966516375966f10ed859b4b94b7cd07e60cfc39,ae20f28f7af7859af6c4d9315263c378e9f0afbd2986dfc574c2c60ecf0e179e,80.0,3005,3005,116,116,1.0,0.03860232945091514,12.516594719098753,17.211709249973936,0.7627217685214865,-4.3669928005705305,0.08620689655172414,1.0,0.1,11.6,4.833333333333333,74.00179281833333,4.35,68.99573272875,euclidean_distance,4.919553532682616,5.099019527435303,,
7,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,682a4a1f5818d1180ce3b79e35469eaa79504c91b1725ccb8025d8220c5ecc13,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
7,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=7:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,682a4a1f5818d1180ce3b79e35469eaa79504c91b1725ccb8025d8220c5ecc13,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
8,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.05,0.05,observed_only_low_data,119,e28f2fd9869ea273c6d7bcb4ab344c4331b7f372dfa0ac7f9c3c67a437747fe3,b8d353fba06f276ebc35f094fb3f5b5a5edc9573b532efda3e666ea4ee914a61,fae43d2d7a8e81a9020ee183441debc5600d6ab7a562a16f70fffbf4d8499bb6,80.0,3005,3005,119,119,1.0,0.039600665557404324,11.047395530288721,15.788825877336055,0.7704091448106204,1.9594719362854809,0.025210084033613446,,0.0,,3.3055555555555554,63.180820236666676,3.3055555555555554,56.63461726337499,cosine_distance,0.0765011756314878,0.08146619392272392,0.9234988243685123,0.9185338060772761
8,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.05,0.05,observed_only_low_data,117,7b5cab4e3a4997dfc624619c7dc4906ba92900df2b30e4608919e448ec0fc617,01c2dd58b47ec362bfbc80a77476456d1ba69d70454408d363d95c4cb652ead5,8e37917509a6c259c5db56675551274e9bf132494579283c31c874f7fb72d35f,80.0,3005,3005,117,116,0.9914529914529915,0.03860232945091514,10.33168491988365,14.33561164732648,0.8162232821655144,0.8703108177756543,0.0603448275862069,1.0,0.42857142857142855,16.57142857142857,6.904761904761905,73.95263137333333,4.142857142857142,62.78901766916667,euclidean_distance,4.982831804916777,5.196152210235596,,
8,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,e599aee6a2e3608de496d58d0f2fe5e569212cbc0daa162ab0e2ff00c954cb95,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
8,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=8:fraction=0.05,0.05,globally_unmeasured_prospective,1,6198cd7a2692fb6bdf5e990cc7dece0908aa23efac1b406265cd461c4a8892ba,b2ec22b26568e42e7d7a44c432a294a7ac3f685d6c947685f0828a6d188cd298,b05eaaf77a3eae654a749b568104cdee251f9b594fbe20c0513d59f60e7e01a0,80.0,3005,3005,1,0,0.0,0.0,,,,,,,,,,,,,,,,,
9,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=9:fraction=0.05,0.05,observed_only_low_data,101,1e9c57bed174b06aa1c4f5c8c0272d13a84f182f206ba7306711db32e2784b2b,d7a72aa5f22602db7af38121382cc1370ed7bb89c35e2eab2a30810f26a4b760,8ca71b7de066bcb15114ea94b4780b21f764aeb0fa4397178beff41b6aa6388b,80.0,3005,3005,101,101,1.0,0.03361064891846922,12.496961115666892,16.2018782156498,0.7735847089839902,1.4375604676122884,0.0297029702970297,,0.0,,6.121212121212122,61.391959580000005,3.2063492063492065,51.18096407809524,cosine_distance,0.08225434448197735,0.08355180145657048,0.9177456555180225,0.9164481985434295
9,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=9:fraction=0.05,0.05,observed_only_low_data,100,0ead5a4c55493f72a8d70c8263d07622c318e1173836b310577658e0b543a042,7be085abf5aa22e13890cb70640fdc50c7f9327e46002bfaac4607e05c79ed52,e259ee7aa77e83838ff7eea6984aa329b83157bf07e1df581211b0fcbee0e4ef,80.0,3005,3005,100,100,1.0,0.033277870216306155,12.538868096241709,16.11538139813832,0.7741238612114398,1.8413973850933523,0.06,,0.0,,8.333333333333334,63.710246841,5.0,60.90775430849999,euclidean_distance,5.200612680912018,5.291502475738525,,
9,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=9:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,00bd0a2fe844d03b71bff4f6993866cf55904c27d9302d17e024ed5a3bb948dd,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
9,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=9:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,00bd0a2fe844d03b71bff4f6993866cf55904c27d9302d17e024ed5a3bb948dd,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
10,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=10:fraction=0.05,0.05,observed_only_low_data,108,3fa5dbb9cd06e678852689a5bd6a62bf6765d4c9e35e6a935a0589e41678918b,90e306773b84ac832586e9612dbf2d57919a5b884fb80f522e1602c1aed7bb3b,8a380d63af0f7e5c9f7a39d708bb50390e00e9daafb4f26fdb487334e28a76d8,80.0,3005,3005,108,108,1.0,0.03594009983361065,10.659528270637033,14.78561455856961,0.8122415500027153,2.8908861894184557,0.037037037037037035,,0.0,,4.909090909090909,62.828949880909086,4.909090909090909,61.89915691281817,cosine_distance,0.0763885795602081,0.08030524403404021,0.9236114204397919,0.9196947559659598
10,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=10:fraction=0.05,0.05,observed_only_low_data,103,709abc1758964840db1ca86f966256742843d5c8d17acca921dc48a653e26b01,d3a1d12e5f3834f9eaa5e179e4bd0c1821c1ab450c9e5688e091d97548918ce2,564132d75e33b1b78de8af2a349d01bda81116cf5a4cb7093a6c5ca6259e3c0c,80.0,3005,3005,103,103,1.0,0.03427620632279534,10.70493821600821,15.277139883634208,0.8082631406643545,1.2374881036143788,0.04854368932038835,,0.0,,5.618181818181818,66.1270644209091,4.904761904761904,65.49731414009524,euclidean_distance,4.903088370573173,5.099019527435303,,
10,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=10:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,3aa86ff7be7f6497a770517634bf9ff8c35c81e6f03468485294a9a54e3b65be,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
10,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=10:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,3aa86ff7be7f6497a770517634bf9ff8c35c81e6f03468485294a9a54e3b65be,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
11,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=11:fraction=0.05,0.05,observed_only_low_data,110,bb8976c7993e0e412df936f6c7fdebe53dcb66b1a479365ff4d5175e67d12efe,9d27de3ee078c9c543175ab3913be64dc74f4f099efc962cb55679a67e93430e,d9313a5160378dcf007a2035bc9617e7e15157b7e4bebc4b16c2c843b6a12cc2,80.0,3005,3005,110,110,1.0,0.036605657237936774,12.804618771059271,16.705006145748982,0.7527506091821058,4.077248876083743,0.02727272727272727,,0.0,,3.3333333333333335,56.67301057545455,5.0,59.59222221681818,cosine_distance,0.07955038639861092,0.08230018847045967,0.920449613601389,0.9176998115295403
11,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=11:fraction=0.05,0.05,observed_only_low_data,104,7bfe600ca0bebb53f02046500225e25992a84137846c282ee5c2801a598da1ad,5d10dae0c41acca0a507dc671d0771c7a841b00ff57997c6ebe0ef1b0e42982d,af6e24a88e5a8346a32dedb866c8d41a83706f48709d5676129762a5210835ad,80.0,3005,3005,104,104,1.0,0.034608985024958405,11.782222821970894,15.61762614440047,0.7904640735760369,4.1693214444947495,0.019230769230769232,,0.0,,0.0,58.29266371727272,4.952380952380952,60.60128516904762,euclidean_distance,5.015736364401304,5.196152210235596,,
11,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=11:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,f9bb901a00c628a6cf051ee9fa8cf92cb7fd3d289c2889555e9b87f7b2c5eb20,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
11,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=11:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,f9bb901a00c628a6cf051ee9fa8cf92cb7fd3d289c2889555e9b87f7b2c5eb20,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
12,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=12:fraction=0.05,0.05,observed_only_low_data,104,d5af8dd6d679d907be8350fa79667df5e10553af4bb47dda38d928bfe5110513,415897c021003183c12e50e4f770b19f51a24a399ab47d26cc14fa144706d352,77f6fb29866a85496bbab4d9cece8ef260cf363cf09657a7a22fbfb2401192dd,80.0,3005,3005,104,104,1.0,0.034608985024958405,10.373760854311014,15.451562351591425,0.8353671874788993,2.155519503614204,0.038461538461538464,0.0,0.0,0.0,7.09090909090909,73.04417248181818,3.714285714285714,68.62256637285716,cosine_distance,0.08336333432657944,0.0839264615428088,0.9166366656734204,0.9160735384571912
12,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=12:fraction=0.05,0.05,observed_only_low_data,104,1cc96bed94f3d7cf2b3766eea5aee847462cd7bddeb2278fef97f2e677aad55d,62e3fe5ae7cefac978d50ec90b60b45340a15190eb5481fe0cc486f822fe0ce4,3ea8aa0947e9c7cdd09af6c9b3a21504b56aab2c6133150b600bbf8c8eff2ffd,80.0,3005,3005,104,104,1.0,0.034608985024958405,10.014144273383026,14.60276751688033,0.85258275447792,0.6120863830120805,0.057692307692307696,0.8,0.6666666666666666,13.866666666666667,9.454545454545453,78.62949804272729,4.952380952380952,72.9303068042857,euclidean_distance,5.106466070963786,5.2438273429870605,,
12,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=12:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,05aec97821d918066239de8ba00fdac0322974299af077bd299d3726e25d5650,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
12,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=12:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,05aec97821d918066239de8ba00fdac0322974299af077bd299d3726e25d5650,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
13,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=13:fraction=0.05,0.05,observed_only_low_data,113,aaa23750320c1a79be62c057239405d39fa23f644e6663d4ddad0822459e4050,e0f22769973981e560c1cf8453d764d53ef02e0750442d38b81b03347ca0e604,7f095f9d30ef939c312f4b100351c26851a257001f4f631694d6335805048b3f,80.0,3005,3005,113,113,1.0,0.037603993344425955,11.623443418139685,17.770244319761655,0.6801227815670399,1.1392623732303035,0.035398230088495575,0.6666666666666666,0.5,18.833333333333332,4.708333333333333,59.05321124583333,4.913043478260869,58.32923539713043,cosine_distance,0.07583466567912917,0.07964201338315546,0.9241653343208708,0.9203579866168445
13,typed,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=13:fraction=0.05,0.05,observed_only_low_data,111,9e6e877da1cec6749b5008a98db23a94c201c9c48cc6f7c0e1c398745dff8001,d8486de14207aac0ab42ebb3b02a818c28ee9bb139e092d6461bccfe116bbe25,c0a21ae0266250c091dc74ff9586015e021cf9674727b93e1178b4d8f00dfc84,80.0,3005,3005,111,111,1.0,0.03693843594009984,10.901617947313929,16.43048313979635,0.7702777419551018,0.14343287332138605,0.04504504504504504,0.375,0.6,8.325000000000001,5.55,70.1172147975,4.826086956521739,64.22681642452174,euclidean_distance,4.864226001876968,5.0,,
13,anonymous,withheld_cell_transfer_oracle,bh-withheld-cell-oracle-v1,canonical-random:seed=13:fraction=0.05,0.05,globally_unmeasured_prospective,0,2b6fa8b54aaba26e8c2051443fb874473459935b48a69604c4c721c51367c265,549d76bc88eada4c89fcbb23a51bfcb4f7524f2eac1be5bd0ea2c7470bd5130f,283a2524127c02007a87a00d58fe5d044ebd0b1b16ad11b1d0fcfd3c7e9a249f,80.0,3005,3005,0,0,,0.0,,,,,,,,,,,,,,,,,
