evaluation_unit,train_fraction,candidate_scope_mode,transferred_change_type,overlap_count,pseudo_label_mae,pseudo_label_rmse,pseudo_label_spearman,pseudo_label_bias,high_yield_prevalence,high_yield_precision,high_yield_recall,high_yield_enrichment,top_10pct_enrichment,top_10pct_mean_true_yield,top_20pct_enrichment,top_20pct_mean_true_yield,support_distance_metric,nearest_labeled_training_distance_mean,nearest_labeled_training_distance_median,nearest_labeled_training_similarity_mean,nearest_labeled_training_similarity_median
canonical-random:seed=6:fraction=0.05,0.05,observed_only_low_data,ligand|base,123,12.22167610740635,16.944793890922973,0.7009269407319908,1.6120492260659642,0.008130081300813009,,0.0,,9.461538461538462,56.13006425,4.92,55.3812571736,cosine_distance,0.08220811170921193,0.08412835960599552,0.9177918882907881,0.9158716403940045
canonical-random:seed=6:fraction=0.05,0.05,observed_only_low_data,ligand|base,114,11.319813211187881,16.327040937367922,0.7490415693972837,0.5244466046560604,0.07017543859649122,1.0,0.375,14.25,8.312500000000002,69.38288266333332,4.336956521739131,64.19312640826087,euclidean_distance,5.0611970257340815,5.2438273429870605,,
canonical-random:seed=7:fraction=0.05,0.05,observed_only_low_data,ligand|base,109,12.55210872169523,16.989937704867643,0.7417948216783541,-2.649870211328547,0.06422018348623854,,0.0,,5.662337662337662,70.12270177272728,4.246753246753246,63.46109920681818,cosine_distance,0.07391391435406229,0.07899430615482173,0.9260860856459376,0.9210056938451783
canonical-random:seed=7:fraction=0.05,0.05,observed_only_low_data,ligand|base,116,12.516594719098753,17.211709249973936,0.7627217685214865,-4.3669928005705305,0.08620689655172414,1.0,0.1,11.6,4.833333333333333,74.00179281833333,4.35,68.99573272875,euclidean_distance,4.919553532682616,5.099019527435303,,
canonical-random:seed=8:fraction=0.05,0.05,observed_only_low_data,ligand|base,119,11.047395530288721,15.788825877336055,0.7704091448106204,1.9594719362854809,0.025210084033613446,,0.0,,3.3055555555555554,63.180820236666676,3.3055555555555554,56.63461726337499,cosine_distance,0.0765011756314878,0.08146619392272392,0.9234988243685123,0.9185338060772761
canonical-random:seed=8:fraction=0.05,0.05,observed_only_low_data,ligand|base,116,10.33168491988365,14.33561164732648,0.8162232821655144,0.8703108177756543,0.0603448275862069,1.0,0.42857142857142855,16.57142857142857,6.904761904761905,73.95263137333333,4.142857142857142,62.78901766916667,euclidean_distance,4.982831804916777,5.196152210235596,,
canonical-random:seed=9:fraction=0.05,0.05,observed_only_low_data,ligand|base,101,12.496961115666892,16.2018782156498,0.7735847089839902,1.4375604676122884,0.0297029702970297,,0.0,,6.121212121212122,61.391959580000005,3.2063492063492065,51.18096407809524,cosine_distance,0.08225434448197735,0.08355180145657048,0.9177456555180225,0.9164481985434295
canonical-random:seed=9:fraction=0.05,0.05,observed_only_low_data,ligand|base,100,12.538868096241709,16.11538139813832,0.7741238612114398,1.8413973850933523,0.06,,0.0,,8.333333333333334,63.710246841,5.0,60.90775430849999,euclidean_distance,5.200612680912018,5.291502475738525,,
canonical-random:seed=10:fraction=0.05,0.05,observed_only_low_data,ligand|base,108,10.659528270637033,14.78561455856961,0.8122415500027153,2.8908861894184557,0.037037037037037035,,0.0,,4.909090909090909,62.828949880909086,4.909090909090909,61.89915691281817,cosine_distance,0.0763885795602081,0.08030524403404021,0.9236114204397919,0.9196947559659598
canonical-random:seed=10:fraction=0.05,0.05,observed_only_low_data,ligand|base,103,10.70493821600821,15.277139883634208,0.8082631406643545,1.2374881036143788,0.04854368932038835,,0.0,,5.618181818181818,66.1270644209091,4.904761904761904,65.49731414009524,euclidean_distance,4.903088370573173,5.099019527435303,,
canonical-random:seed=11:fraction=0.05,0.05,observed_only_low_data,ligand|base,110,12.804618771059271,16.705006145748982,0.7527506091821058,4.077248876083743,0.02727272727272727,,0.0,,3.3333333333333335,56.67301057545455,5.0,59.59222221681818,cosine_distance,0.07955038639861092,0.08230018847045967,0.920449613601389,0.9176998115295403
canonical-random:seed=11:fraction=0.05,0.05,observed_only_low_data,ligand|base,104,11.782222821970894,15.61762614440047,0.7904640735760369,4.1693214444947495,0.019230769230769232,,0.0,,0.0,58.29266371727272,4.952380952380952,60.60128516904762,euclidean_distance,5.015736364401304,5.196152210235596,,
canonical-random:seed=12:fraction=0.05,0.05,observed_only_low_data,ligand|base,104,10.373760854311014,15.451562351591425,0.8353671874788993,2.155519503614204,0.038461538461538464,0.0,0.0,0.0,7.09090909090909,73.04417248181818,3.714285714285714,68.62256637285716,cosine_distance,0.08336333432657944,0.0839264615428088,0.9166366656734204,0.9160735384571912
