train_fraction,metric,small_aug_mean,large_aug_mean,delta_large_minus_small,delta_std,n_seeds,large_better_seeds,paired_t_p,wilcoxon_p
0.01,mae,16.242731843871525,16.325500874044998,0.08276903017347123,0.1326683012679548,5,1,0.2354781953895065,0.1875
0.01,rmse,20.470761498481433,20.541408672084405,0.07064717360296839,0.15738793290065295,5,1,0.3723110135618854,0.625
0.01,r2,0.45499346685841396,0.4510186005365708,-0.003974866321843129,0.00811673371736278,5,1,0.33501368359323047,0.625
0.01,spearman,0.7083651979056957,0.7044976893909151,-0.003867508514780704,0.004808764766301223,5,1,0.14651341643560956,0.1875
0.05,mae,11.266121015927556,11.32573834544375,0.0596173295161929,0.2545266617711067,5,2,0.6281302712068312,0.625
0.05,rmse,14.993174048819418,14.924064022375656,-0.06911002644376225,0.14389681642526056,5,3,0.3433228951684637,0.4375
0.05,r2,0.7080258502819625,0.7107936945586714,0.002767844276708864,0.0055923935462127575,5,3,0.33049845297312624,0.4375
0.05,spearman,0.848202556389435,0.8491890523493535,0.0009864959599185318,0.004059799295692452,5,3,0.6157550044322684,0.625
0.1,mae,9.875222522333564,9.803475224861103,-0.07174729747246182,0.12844726045244176,5,4,0.2797656157688311,0.3125
0.1,rmse,13.306551817530192,13.34387300847383,0.03732119094363924,0.32065377049028876,5,3,0.807512807198027,1.0
0.1,r2,0.7702539950655101,0.768924319585567,-0.001329675479943182,0.011018618081516246,5,3,0.800633693788945,1.0
0.1,spearman,0.8775784505445413,0.8761590545722268,-0.0014193959723147742,0.009341109210437494,5,2,0.7511183576096588,0.8125
