fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,rmse,18.407711739781462
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,mae,14.67902990027621
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,r2,0.5347774164153146
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,spearman,0.7475910879062103
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,rmse,18.55269059864528
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,mae,14.647351277764095
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,r2,0.5331708335714247
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,spearman,0.7470226149899842
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.5,0.8,ridge,3,158,61,1.3860759493670887,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,rmse,14.705257827041642
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.5,0.8,ridge,3,158,61,1.3860759493670887,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,mae,10.981382254201401
