train_fraction,split_method,group_column,split,reaction_id,group_value
0.01,random,,train,reactions_3097,
0.01,random,,train,reactions_2211,
0.01,random,,train,reactions_2439,
0.01,random,,train,reactions_284,
0.01,random,,train,reactions_583,
0.01,random,,train,reactions_1839,
0.01,random,,train,reactions_2056,
0.01,random,,train,reactions_3086,
0.01,random,,train,reactions_608,
0.01,random,,train,reactions_3014,
0.01,random,,train,reactions_2668,
0.01,random,,train,reactions_2617,
0.01,random,,train,reactions_2226,
0.01,random,,train,reactions_3466,
0.01,random,,train,reactions_1163,
0.01,random,,train,reactions_3393,
0.01,random,,train,reactions_1656,
0.01,random,,train,reactions_1825,
0.01,random,,train,reactions_3240,
0.01,random,,train,reactions_3076,
0.01,random,,train,reactions_2561,
0.01,random,,train,reactions_1939,
0.01,random,,train,reactions_2384,
0.01,random,,train,reactions_3383,
0.01,random,,train,reactions_3651,
0.01,random,,train,reactions_1337,
0.01,random,,train,reactions_3049,
0.01,random,,train,reactions_1087,
0.01,random,,train,reactions_3524,
0.01,random,,train,reactions_3761,
0.01,random,,train,reactions_3239,
0.01,random,,valid,reactions_1144,
0.01,random,,valid,reactions_3302,
0.01,random,,valid,reactions_3534,
0.01,random,,valid,reactions_715,
0.01,random,,valid,reactions_728,
0.01,random,,valid,reactions_2331,
0.01,random,,valid,reactions_369,
0.01,random,,valid,reactions_2632,
0.01,random,,valid,reactions_2504,
0.01,random,,valid,reactions_1038,
0.01,random,,valid,reactions_2053,
0.01,random,,valid,reactions_2195,
0.01,random,,valid,reactions_3740,
0.01,random,,valid,reactions_3148,
0.01,random,,valid,reactions_1104,
0.01,random,,valid,reactions_626,
0.01,random,,valid,reactions_2685,
0.01,random,,valid,reactions_3809,
0.01,random,,valid,reactions_2157,
0.01,random,,valid,reactions_1733,
0.01,random,,valid,reactions_1390,
0.01,random,,valid,reactions_3137,
0.01,random,,valid,reactions_1876,
0.01,random,,valid,reactions_1702,
0.01,random,,valid,reactions_889,
0.01,random,,valid,reactions_729,
0.01,random,,valid,reactions_3812,
0.01,random,,valid,reactions_3099,
0.01,random,,valid,reactions_3109,
0.01,random,,valid,reactions_3586,
0.01,random,,valid,reactions_1588,
0.01,random,,valid,reactions_3862,
0.01,random,,valid,reactions_3850,
0.01,random,,valid,reactions_3195,
0.01,random,,valid,reactions_2556,
0.01,random,,valid,reactions_3146,
0.01,random,,valid,reactions_3942,
0.01,random,,valid,reactions_2511,
0.01,random,,valid,reactions_905,
0.01,random,,valid,reactions_3445,
0.01,random,,valid,reactions_2121,
0.01,random,,valid,reactions_1066,
0.01,random,,valid,reactions_3769,
0.01,random,,valid,reactions_1000,
0.01,random,,valid,reactions_2465,
0.01,random,,valid,reactions_2714,
0.01,random,,valid,reactions_3433,
0.01,random,,valid,reactions_790,
0.01,random,,valid,reactions_2635,
0.01,random,,valid,reactions_300,
0.01,random,,valid,reactions_554,
0.01,random,,valid,reactions_1541,
0.01,random,,valid,reactions_2016,
0.01,random,,valid,reactions_1636,
0.01,random,,valid,reactions_2807,
0.01,random,,valid,reactions_1708,
0.01,random,,valid,reactions_2889,
0.01,random,,valid,reactions_1762,
0.01,random,,valid,reactions_363,
0.01,random,,valid,reactions_2844,
0.01,random,,valid,reactions_1462,
0.01,random,,valid,reactions_1715,
0.01,random,,valid,reactions_1367,
0.01,random,,valid,reactions_2741,
0.01,random,,valid,reactions_1878,
0.01,random,,valid,reactions_823,
0.01,random,,valid,reactions_917,
0.01,random,,valid,reactions_936,
0.01,random,,valid,reactions_3551,
0.01,random,,valid,reactions_2802,
0.01,random,,valid,reactions_2597,
0.01,random,,valid,reactions_894,
0.01,random,,valid,reactions_2740,
0.01,random,,valid,reactions_3287,
0.01,random,,valid,reactions_880,
0.01,random,,valid,reactions_1479,
0.01,random,,valid,reactions_1746,
0.01,random,,valid,reactions_2326,
0.01,random,,valid,reactions_2448,
0.01,random,,valid,reactions_458,
0.01,random,,valid,reactions_1086,
0.01,random,,valid,reactions_1549,
0.01,random,,valid,reactions_3860,
0.01,random,,valid,reactions_2080,
0.01,random,,valid,reactions_634,
0.01,random,,valid,reactions_2595,
0.01,random,,valid,reactions_3357,
0.01,random,,valid,reactions_2497,
0.01,random,,valid,reactions_3430,
0.01,random,,valid,reactions_483,
0.01,random,,valid,reactions_2767,
0.01,random,,valid,reactions_2606,
0.01,random,,valid,reactions_1625,
0.01,random,,valid,reactions_2209,
0.01,random,,valid,reactions_3261,
0.01,random,,valid,reactions_3789,
0.01,random,,valid,reactions_615,
0.01,random,,valid,reactions_3385,
0.01,random,,valid,reactions_1274,
0.01,random,,valid,reactions_2429,
0.01,random,,valid,reactions_47,
0.01,random,,valid,reactions_1594,
0.01,random,,valid,reactions_1676,
0.01,random,,valid,reactions_3930,
0.01,random,,valid,reactions_2838,
0.01,random,,valid,reactions_260,
0.01,random,,valid,reactions_3854,
0.01,random,,valid,reactions_3175,
0.01,random,,valid,reactions_2733,
0.01,random,,valid,reactions_51,
0.01,random,,valid,reactions_846,
0.01,random,,valid,reactions_654,
0.01,random,,valid,reactions_1053,
0.01,random,,valid,reactions_1590,
0.01,random,,valid,reactions_2855,
0.01,random,,valid,reactions_1613,
0.01,random,,valid,reactions_773,
0.01,random,,valid,reactions_1518,
0.01,random,,valid,reactions_3711,
0.01,random,,valid,reactions_3277,
0.01,random,,valid,reactions_1701,
0.01,random,,valid,reactions_1952,
0.01,random,,valid,reactions_3509,
0.01,random,,valid,reactions_2509,
0.01,random,,valid,reactions_3734,
0.01,random,,valid,reactions_2752,
0.01,random,,valid,reactions_2219,
0.01,random,,valid,reactions_3657,
0.01,random,,valid,reactions_3213,
0.01,random,,valid,reactions_3880,
0.01,random,,valid,reactions_1505,
0.01,random,,valid,reactions_1107,
0.01,random,,valid,reactions_1912,
0.01,random,,valid,reactions_3583,
0.01,random,,valid,reactions_3017,
0.01,random,,valid,reactions_3443,
0.01,random,,valid,reactions_785,
0.01,random,,valid,reactions_2644,
0.01,random,,valid,reactions_1649,
0.01,random,,valid,reactions_1043,
0.01,random,,valid,reactions_1281,
0.01,random,,valid,reactions_1614,
0.01,random,,valid,reactions_3333,
0.01,random,,valid,reactions_1580,
0.01,random,,valid,reactions_157,
0.01,random,,valid,reactions_3336,
0.01,random,,valid,reactions_2091,
0.01,random,,valid,reactions_1178,
0.01,random,,valid,reactions_2378,
0.01,random,,valid,reactions_1131,
0.01,random,,valid,reactions_3696,
0.01,random,,valid,reactions_1108,
0.01,random,,valid,reactions_3070,
0.01,random,,valid,reactions_1868,
0.01,random,,valid,reactions_3754,
0.01,random,,valid,reactions_2051,
0.01,random,,valid,reactions_719,
0.01,random,,valid,reactions_3196,
0.01,random,,valid,reactions_2291,
0.01,random,,valid,reactions_3022,
0.01,random,,valid,reactions_3594,
0.01,random,,valid,reactions_1994,
0.01,random,,valid,reactions_2265,
0.01,random,,valid,reactions_1700,
0.01,random,,valid,reactions_3897,
0.01,random,,valid,reactions_1777,
0.01,random,,valid,reactions_1629,
0.01,random,,valid,reactions_2235,
0.01,random,,valid,reactions_40,
0.01,random,,valid,reactions_950,
0.01,random,,valid,reactions_45,
0.01,random,,valid,reactions_301,
0.01,random,,valid,reactions_512,
0.01,random,,valid,reactions_1332,
0.01,random,,valid,reactions_2438,
0.01,random,,valid,reactions_68,
0.01,random,,valid,reactions_3840,
0.01,random,,valid,reactions_3125,
0.01,random,,valid,reactions_207,
0.01,random,,valid,reactions_2651,
0.01,random,,valid,reactions_2268,
0.01,random,,valid,reactions_2546,
0.01,random,,valid,reactions_2980,
0.01,random,,valid,reactions_2647,
0.01,random,,valid,reactions_1220,
0.01,random,,valid,reactions_3463,
0.01,random,,valid,reactions_3639,
0.01,random,,valid,reactions_3467,
0.01,random,,valid,reactions_1466,
0.01,random,,valid,reactions_3532,
0.01,random,,valid,reactions_3268,
0.01,random,,valid,reactions_1333,
0.01,random,,valid,reactions_511,
0.01,random,,valid,reactions_1735,
0.01,random,,valid,reactions_3935,
0.01,random,,valid,reactions_3332,
0.01,random,,valid,reactions_701,
0.01,random,,valid,reactions_2915,
0.01,random,,valid,reactions_3377,
0.01,random,,valid,reactions_420,
0.01,random,,valid,reactions_2325,
0.01,random,,valid,reactions_3317,
0.01,random,,valid,reactions_95,
0.01,random,,valid,reactions_306,
0.01,random,,valid,reactions_1289,
0.01,random,,valid,reactions_863,
0.01,random,,valid,reactions_3541,
0.01,random,,valid,reactions_639,
0.01,random,,valid,reactions_77,
0.01,random,,valid,reactions_549,
0.01,random,,valid,reactions_3257,
0.01,random,,valid,reactions_2057,
0.01,random,,valid,reactions_307,
0.01,random,,valid,reactions_1019,
0.01,random,,valid,reactions_3064,
0.01,random,,valid,reactions_3609,
0.01,random,,valid,reactions_2902,
0.01,random,,valid,reactions_2144,
0.01,random,,valid,reactions_1621,
0.01,random,,valid,reactions_1711,
0.01,random,,valid,reactions_2187,
0.01,random,,valid,reactions_110,
0.01,random,,valid,reactions_942,
0.01,random,,valid,reactions_813,
0.01,random,,valid,reactions_3106,
0.01,random,,valid,reactions_1246,
0.01,random,,valid,reactions_2088,
0.01,random,,valid,reactions_1557,
0.01,random,,valid,reactions_1443,
0.01,random,,valid,reactions_809,
0.01,random,,valid,reactions_3932,
0.01,random,,valid,reactions_38,
0.01,random,,valid,reactions_2025,
0.01,random,,valid,reactions_2488,
0.01,random,,valid,reactions_3212,
0.01,random,,valid,reactions_2593,
0.01,random,,valid,reactions_3122,
0.01,random,,valid,reactions_3800,
0.01,random,,valid,reactions_375,
0.01,random,,valid,reactions_3054,
0.01,random,,valid,reactions_2609,
0.01,random,,valid,reactions_689,
0.01,random,,valid,reactions_2513,
0.01,random,,valid,reactions_2865,
0.01,random,,valid,reactions_3155,
0.01,random,,valid,reactions_1720,
0.01,random,,valid,reactions_2435,
0.01,random,,valid,reactions_422,
0.01,random,,valid,reactions_1719,
0.01,random,,valid,reactions_1233,
0.01,random,,valid,reactions_1379,
0.01,random,,valid,reactions_2562,
0.01,random,,valid,reactions_3618,
0.01,random,,valid,reactions_1516,
0.01,random,,valid,reactions_2544,
0.01,random,,valid,reactions_2755,
0.01,random,,valid,reactions_3254,
0.01,random,,valid,reactions_3207,
0.01,random,,valid,reactions_1827,
0.01,random,,valid,reactions_805,
0.01,random,,valid,reactions_199,
0.01,random,,valid,reactions_3225,
0.01,random,,valid,reactions_23,
0.01,random,,valid,reactions_1110,
0.01,random,,valid,reactions_1446,
0.01,random,,valid,reactions_2230,
0.01,random,,valid,reactions_3779,
0.01,random,,valid,reactions_1436,
0.01,random,,valid,reactions_1147,
0.01,random,,valid,reactions_1382,
0.01,random,,valid,reactions_2398,
0.01,random,,valid,reactions_1710,
0.01,random,,valid,reactions_2805,
0.01,random,,valid,reactions_2013,
0.01,random,,valid,reactions_3262,
0.01,random,,valid,reactions_1123,
0.01,random,,valid,reactions_1531,
0.01,random,,valid,reactions_3896,
0.01,random,,valid,reactions_2800,
0.01,random,,valid,reactions_3272,
0.01,random,,valid,reactions_200,
0.01,random,,valid,reactions_1247,
0.01,random,,valid,reactions_3483,
0.01,random,,valid,reactions_3342,
0.01,random,,valid,reactions_403,
0.01,random,,valid,reactions_3569,
0.01,random,,valid,reactions_2713,
0.01,random,,valid,reactions_705,
0.01,random,,valid,reactions_2533,
0.01,random,,valid,reactions_1757,
0.01,random,,valid,reactions_3360,
0.01,random,,valid,reactions_1544,
0.01,random,,valid,reactions_742,
0.01,random,,valid,reactions_776,
0.01,random,,valid,reactions_1292,
0.01,random,,valid,reactions_3329,
0.01,random,,valid,reactions_539,
0.01,random,,valid,reactions_3405,
0.01,random,,valid,reactions_3600,
0.01,random,,valid,reactions_1979,
0.01,random,,valid,reactions_2150,
0.01,random,,valid,reactions_3073,
0.01,random,,valid,reactions_2951,
0.01,random,,valid,reactions_1738,
0.01,random,,valid,reactions_2912,
0.01,random,,valid,reactions_1812,
0.01,random,,valid,reactions_3757,
