train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.01,random,,reaction_morgan_sum,2048,ridge,valid,rmse,26.5921359676516
0.01,random,,reaction_morgan_sum,2048,ridge,valid,mae,21.276574413308616
0.01,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.11505080263440626
0.01,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.5841476204675048
0.01,random,,reaction_morgan_sum,2048,ridge,test,rmse,26.725434881599973
0.01,random,,reaction_morgan_sum,2048,ridge,test,mae,21.449581362984397
0.01,random,,reaction_morgan_sum,2048,ridge,test,r2,0.09853058727811581
0.01,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.5534474758984143
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,21.674847831268362
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,mae,16.790334889076934
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.4120721830544841
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.7327249536623297
0.01,random,,reaction_morgan_sum,2048,random_forest,test,rmse,21.924667109883554
0.01,random,,reaction_morgan_sum,2048,random_forest,test,mae,17.3845434870744
0.01,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.3933091432973903
0.01,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.7217447594126208
0.05,random,,reaction_morgan_sum,2048,ridge,valid,rmse,17.613723450747614
0.05,random,,reaction_morgan_sum,2048,ridge,valid,mae,14.141253985407987
0.05,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.6117475178537741
0.05,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8216132063176097
0.05,random,,reaction_morgan_sum,2048,ridge,test,rmse,17.584537834879352
0.05,random,,reaction_morgan_sum,2048,ridge,test,mae,14.327933702956546
0.05,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6097316334388763
0.05,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.7892083202056707
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,15.927940644006545
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,mae,12.000597105355203
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.6825091953444812
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.8518615216233256
0.05,random,,reaction_morgan_sum,2048,random_forest,test,rmse,16.347024237522362
0.05,random,,reaction_morgan_sum,2048,random_forest,test,mae,12.248233737439822
0.05,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.6627291191628675
0.05,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.8174134012441878
0.1,random,,reaction_morgan_sum,2048,ridge,valid,rmse,16.746407592900855
0.1,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.65624952746343
0.1,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.6490419494810465
0.1,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8419154026865655
0.1,random,,reaction_morgan_sum,2048,ridge,test,rmse,16.198521391515314
0.1,random,,reaction_morgan_sum,2048,ridge,test,mae,13.044165219622428
0.1,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6688290901235874
0.1,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.831681701678629
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,14.189097113557132
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,mae,10.232053796656524
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.7480459077513015
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.877854740402905
0.1,random,,reaction_morgan_sum,2048,random_forest,test,rmse,15.003912375531387
0.1,random,,reaction_morgan_sum,2048,random_forest,test,mae,10.575086014809632
0.1,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.7158743305008859
0.1,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.8425532524433922
0.2,random,,reaction_morgan_sum,2048,ridge,valid,rmse,15.893012938001753
0.2,random,,reaction_morgan_sum,2048,ridge,valid,mae,12.740222284839122
0.2,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.6839000929106523
0.2,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8608287064140975
0.2,random,,reaction_morgan_sum,2048,ridge,test,rmse,15.42715812631839
0.2,random,,reaction_morgan_sum,2048,ridge,test,mae,12.361755045826989
0.2,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6996184210820816
0.2,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8574846891634055
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,10.711471123153883
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,mae,7.550252235186627
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.8564146480742668
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9204932478703052
0.2,random,,reaction_morgan_sum,2048,random_forest,test,rmse,12.332089819916206
0.2,random,,reaction_morgan_sum,2048,random_forest,test,mae,8.219894980076475
0.2,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.8080558889776555
0.2,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.8907747490981073
0.5,random,,reaction_morgan_sum,2048,ridge,valid,rmse,15.763597222343543
0.5,random,,reaction_morgan_sum,2048,ridge,valid,mae,12.715384142232846
0.5,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.6890270929489222
