train_fraction,split_method,group_column,split,reaction_id,group_value
0.01,random,,train,reactions_2994,
0.01,random,,train,reactions_58,
0.01,random,,train,reactions_774,
0.01,random,,train,reactions_1947,
0.01,random,,train,reactions_676,
0.01,random,,train,reactions_292,
0.01,random,,train,reactions_1739,
0.01,random,,train,reactions_899,
0.01,random,,train,reactions_421,
0.01,random,,train,reactions_3202,
0.01,random,,train,reactions_973,
0.01,random,,train,reactions_2057,
0.01,random,,train,reactions_1835,
0.01,random,,train,reactions_1906,
0.01,random,,train,reactions_2645,
0.01,random,,train,reactions_377,
0.01,random,,train,reactions_3870,
0.01,random,,train,reactions_1922,
0.01,random,,train,reactions_501,
0.01,random,,train,reactions_3803,
0.01,random,,train,reactions_2094,
0.01,random,,train,reactions_1868,
0.01,random,,train,reactions_562,
0.01,random,,train,reactions_2225,
0.01,random,,train,reactions_3248,
0.01,random,,train,reactions_213,
0.01,random,,train,reactions_874,
0.01,random,,train,reactions_3424,
0.01,random,,train,reactions_2911,
0.01,random,,train,reactions_1436,
0.01,random,,train,reactions_1035,
0.01,random,,valid,reactions_2376,
0.01,random,,valid,reactions_3159,
0.01,random,,valid,reactions_970,
0.01,random,,valid,reactions_2632,
0.01,random,,valid,reactions_3926,
0.01,random,,valid,reactions_3063,
0.01,random,,valid,reactions_1287,
0.01,random,,valid,reactions_3044,
0.01,random,,valid,reactions_3840,
0.01,random,,valid,reactions_3181,
0.01,random,,valid,reactions_990,
0.01,random,,valid,reactions_756,
0.01,random,,valid,reactions_495,
0.01,random,,valid,reactions_1943,
0.01,random,,valid,reactions_341,
0.01,random,,valid,reactions_1965,
0.01,random,,valid,reactions_2397,
0.01,random,,valid,reactions_1109,
0.01,random,,valid,reactions_2666,
0.01,random,,valid,reactions_2976,
0.01,random,,valid,reactions_1522,
0.01,random,,valid,reactions_690,
0.01,random,,valid,reactions_929,
0.01,random,,valid,reactions_952,
0.01,random,,valid,reactions_133,
0.01,random,,valid,reactions_3704,
0.01,random,,valid,reactions_2708,
0.01,random,,valid,reactions_3076,
0.01,random,,valid,reactions_983,
0.01,random,,valid,reactions_316,
0.01,random,,valid,reactions_685,
0.01,random,,valid,reactions_1276,
0.01,random,,valid,reactions_2733,
0.01,random,,valid,reactions_894,
0.01,random,,valid,reactions_1875,
0.01,random,,valid,reactions_2571,
0.01,random,,valid,reactions_2739,
0.01,random,,valid,reactions_2080,
0.01,random,,valid,reactions_1130,
0.01,random,,valid,reactions_2528,
0.01,random,,valid,reactions_1807,
0.01,random,,valid,reactions_1463,
0.01,random,,valid,reactions_3373,
0.01,random,,valid,reactions_2977,
0.01,random,,valid,reactions_3149,
0.01,random,,valid,reactions_563,
0.01,random,,valid,reactions_2808,
0.01,random,,valid,reactions_3609,
0.01,random,,valid,reactions_1740,
0.01,random,,valid,reactions_3352,
0.01,random,,valid,reactions_787,
0.01,random,,valid,reactions_83,
0.01,random,,valid,reactions_1347,
0.01,random,,valid,reactions_3321,
0.01,random,,valid,reactions_515,
0.01,random,,valid,reactions_2471,
0.01,random,,valid,reactions_1512,
0.01,random,,valid,reactions_2579,
0.01,random,,valid,reactions_2098,
0.01,random,,valid,reactions_2585,
0.01,random,,valid,reactions_3069,
0.01,random,,valid,reactions_851,
0.01,random,,valid,reactions_141,
0.01,random,,valid,reactions_2290,
0.01,random,,valid,reactions_3264,
0.01,random,,valid,reactions_350,
0.01,random,,valid,reactions_1465,
0.01,random,,valid,reactions_3238,
0.01,random,,valid,reactions_3763,
0.01,random,,valid,reactions_2953,
0.01,random,,valid,reactions_344,
0.01,random,,valid,reactions_125,
0.01,random,,valid,reactions_2533,
0.01,random,,valid,reactions_84,
0.01,random,,valid,reactions_2437,
0.01,random,,valid,reactions_2732,
0.01,random,,valid,reactions_1157,
0.01,random,,valid,reactions_3247,
0.01,random,,valid,reactions_2394,
0.01,random,,valid,reactions_3339,
0.01,random,,valid,reactions_2827,
0.01,random,,valid,reactions_3511,
0.01,random,,valid,reactions_439,
0.01,random,,valid,reactions_3174,
0.01,random,,valid,reactions_2375,
0.01,random,,valid,reactions_1892,
0.01,random,,valid,reactions_432,
0.01,random,,valid,reactions_2215,
0.01,random,,valid,reactions_2575,
0.01,random,,valid,reactions_207,
0.01,random,,valid,reactions_1240,
0.01,random,,valid,reactions_2249,
0.01,random,,valid,reactions_3865,
0.01,random,,valid,reactions_541,
0.01,random,,valid,reactions_2480,
0.01,random,,valid,reactions_943,
0.01,random,,valid,reactions_2692,
0.01,random,,valid,reactions_3885,
