fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,18.539253350633945
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,14.721629948619045
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,valid,r2,0.5281046932812065
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,valid,spearman,0.7473897405922388
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,test,rmse,18.741875342173103
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,test,mae,14.753745584073995
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,test,r2,0.5236016288579379
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,1.0,0.8,ridge,1,31,13,1.4193548387096775,True,0.8347066558324373,0.807947039604187,0.85,reaction_role_concat,6144,random_forest,True,test,spearman,0.7396449202149571
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.5,0.8,ridge,3,158,61,1.3860759493670887,True,0.8446326490308419,0.8040540814399719,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,14.761273217235152
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_3,condition_recombine_pseudolabel,0.5,0.8,ridge,3,158,61,1.3860759493670887,True,0.8446326490308419,0.8040540814399719,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,11.041413343320919
