train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.01,random,,reaction_morgan_sum,2048,ridge,valid,rmse,26.657689419786934
0.01,random,,reaction_morgan_sum,2048,ridge,valid,mae,21.58192863909504
0.01,random,,reaction_morgan_sum,2048,ridge,valid,r2,-0.004569625324233995
0.01,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.5146270295566528
0.01,random,,reaction_morgan_sum,2048,ridge,test,rmse,25.732317237910596
0.01,random,,reaction_morgan_sum,2048,ridge,test,mae,20.931878982092996
0.01,random,,reaction_morgan_sum,2048,ridge,test,r2,0.15636970092475388
0.01,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.6257044018167242
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,23.636199855616805
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,mae,18.494831836710627
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.2102487139219299
0.01,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.49617527251071564
0.01,random,,reaction_morgan_sum,2048,random_forest,test,rmse,23.500599821245252
0.01,random,,reaction_morgan_sum,2048,random_forest,test,mae,18.76246005700092
0.01,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.29635716511647314
0.01,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.5515091815827249
0.05,random,,reaction_morgan_sum,2048,ridge,valid,rmse,18.15495183906816
0.05,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.925581732505485
0.05,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.5340651048787193
0.05,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.7859976925393044
0.05,random,,reaction_morgan_sum,2048,ridge,test,rmse,16.7709025713824
0.05,random,,reaction_morgan_sum,2048,ridge,test,mae,13.445065070508104
0.05,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6416501333545879
0.05,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8380798121675463
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,16.17359844972335
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,mae,11.825994583909269
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.6302158026563243
0.05,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.8085748158950207
0.05,random,,reaction_morgan_sum,2048,random_forest,test,rmse,14.787016727682948
0.05,random,,reaction_morgan_sum,2048,random_forest,test,mae,11.22813225521358
0.05,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.7214164273704516
0.05,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.856658353520944
0.1,random,,reaction_morgan_sum,2048,ridge,valid,rmse,17.59049062796632
0.1,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.560188819109639
0.1,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.5625877511063653
0.1,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8078810866296031
0.1,random,,reaction_morgan_sum,2048,ridge,test,rmse,16.201381758148514
0.1,random,,reaction_morgan_sum,2048,ridge,test,mae,13.290777331274567
0.1,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6655751920311923
0.1,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.854154127509991
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,13.867487784810823
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,mae,9.391646820230575
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.7281491978430689
0.1,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.8626746932056201
0.1,random,,reaction_morgan_sum,2048,random_forest,test,rmse,13.785314703548696
0.1,random,,reaction_morgan_sum,2048,random_forest,test,mae,9.782069816464428
0.1,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.7578816278673731
0.1,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.8693483837982334
0.2,random,,reaction_morgan_sum,2048,ridge,valid,rmse,17.049282183640415
0.2,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.17310077623476
0.2,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.5890895060583901
0.2,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8080667174003299
0.2,random,,reaction_morgan_sum,2048,ridge,test,rmse,15.386717937061196
0.2,random,,reaction_morgan_sum,2048,ridge,test,mae,12.813791691278569
0.2,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6983617862098803
0.2,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8653884079288469
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,13.800426217922189
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,mae,8.975301872023298
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.7307721184697914
0.2,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.8589894451817349
0.2,random,,reaction_morgan_sum,2048,random_forest,test,rmse,11.59637988299892
0.2,random,,reaction_morgan_sum,2048,random_forest,test,mae,7.954641287475824
0.2,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.8286677007868302
0.2,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.9002820537291107
0.5,random,,reaction_morgan_sum,2048,ridge,valid,rmse,17.042237245460335
0.5,random,,reaction_morgan_sum,2048,ridge,valid,mae,13.268129526738878
0.5,random,,reaction_morgan_sum,2048,ridge,valid,r2,0.5894290207555613
0.5,random,,reaction_morgan_sum,2048,ridge,valid,spearman,0.8200116581859067
0.5,random,,reaction_morgan_sum,2048,ridge,test,rmse,15.443001247601783
0.5,random,,reaction_morgan_sum,2048,ridge,test,mae,12.77274419525356
0.5,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6961510161285935
0.5,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8716207101901607
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,10.181937037671593
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,mae,6.400120370314091
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.8534466166323936
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9182840622872019
