train_fraction,split_method,group_column,split,reaction_id,group_value
0.01,random,,train,reactions_3635,
0.01,random,,train,reactions_977,
0.01,random,,train,reactions_1145,
0.01,random,,train,reactions_358,
0.01,random,,train,reactions_519,
0.01,random,,train,reactions_3036,
0.01,random,,train,reactions_1376,
0.01,random,,train,reactions_2911,
0.01,random,,train,reactions_379,
0.01,random,,train,reactions_856,
0.01,random,,train,reactions_2504,
0.01,random,,train,reactions_2412,
0.01,random,,train,reactions_3850,
0.01,random,,train,reactions_3129,
0.01,random,,train,reactions_581,
0.01,random,,train,reactions_2710,
0.01,random,,train,reactions_1156,
0.01,random,,train,reactions_2807,
0.01,random,,train,reactions_1565,
0.01,random,,train,reactions_1529,
0.01,random,,train,reactions_404,
0.01,random,,train,reactions_3175,
0.01,random,,train,reactions_1769,
0.01,random,,train,reactions_2430,
0.01,random,,train,reactions_2803,
0.01,random,,train,reactions_2187,
0.01,random,,train,reactions_2839,
0.01,random,,train,reactions_2449,
0.01,random,,train,reactions_3576,
0.01,random,,train,reactions_2251,
0.01,random,,train,reactions_770,
0.01,random,,valid,reactions_1864,
0.01,random,,valid,reactions_951,
0.01,random,,valid,reactions_1135,
0.01,random,,valid,reactions_957,
0.01,random,,valid,reactions_279,
0.01,random,,valid,reactions_3182,
0.01,random,,valid,reactions_2690,
0.01,random,,valid,reactions_2583,
0.01,random,,valid,reactions_2043,
0.01,random,,valid,reactions_1082,
0.01,random,,valid,reactions_280,
0.01,random,,valid,reactions_2300,
0.01,random,,valid,reactions_509,
0.01,random,,valid,reactions_108,
0.01,random,,valid,reactions_3568,
0.01,random,,valid,reactions_2518,
0.01,random,,valid,reactions_3666,
0.01,random,,valid,reactions_2227,
0.01,random,,valid,reactions_311,
0.01,random,,valid,reactions_2182,
0.01,random,,valid,reactions_2399,
0.01,random,,valid,reactions_764,
0.01,random,,valid,reactions_2152,
0.01,random,,valid,reactions_874,
0.01,random,,valid,reactions_259,
0.01,random,,valid,reactions_3701,
0.01,random,,valid,reactions_131,
0.01,random,,valid,reactions_1791,
0.01,random,,valid,reactions_511,
0.01,random,,valid,reactions_2764,
0.01,random,,valid,reactions_2435,
0.01,random,,valid,reactions_3227,
0.01,random,,valid,reactions_2382,
0.01,random,,valid,reactions_1117,
0.01,random,,valid,reactions_3739,
0.01,random,,valid,reactions_50,
0.01,random,,valid,reactions_1836,
0.01,random,,valid,reactions_717,
0.01,random,,valid,reactions_1223,
0.01,random,,valid,reactions_988,
0.01,random,,valid,reactions_3518,
0.01,random,,valid,reactions_3559,
0.01,random,,valid,reactions_449,
0.01,random,,valid,reactions_2963,
0.01,random,,valid,reactions_3405,
0.01,random,,valid,reactions_2717,
0.01,random,,valid,reactions_3125,
0.01,random,,valid,reactions_476,
0.01,random,,valid,reactions_1019,
0.01,random,,valid,reactions_3579,
0.01,random,,valid,reactions_2049,
0.01,random,,valid,reactions_1031,
0.01,random,,valid,reactions_646,
0.01,random,,valid,reactions_2849,
0.01,random,,valid,reactions_1619,
0.01,random,,valid,reactions_2203,
0.01,random,,valid,reactions_2285,
0.01,random,,valid,reactions_348,
0.01,random,,valid,reactions_405,
0.01,random,,valid,reactions_3454,
0.01,random,,valid,reactions_813,
0.01,random,,valid,reactions_3560,
0.01,random,,valid,reactions_680,
