train_fraction,split_method,group_column,split,reaction_id,group_value
1.0,heldout_group,reactant_key,train,reactions_2101,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3922,Cc1ccc(N)cc1.Ic1ccccn1
1.0,heldout_group,reactant_key,train,reactions_236,Brc1ccccn1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1816,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3169,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1867,Cc1ccc(N)cc1.Ic1ccccn1
1.0,heldout_group,reactant_key,train,reactions_2663,Cc1ccc(N)cc1.Clc1cccnc1
1.0,heldout_group,reactant_key,train,reactions_892,Cc1ccc(N)cc1.Ic1ccccn1
1.0,heldout_group,reactant_key,train,reactions_538,Brc1cccnc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1489,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3615,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3581,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,heldout_group,reactant_key,train,reactions_682,Brc1ccccn1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1186,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_2707,Cc1ccc(N)cc1.Ic1ccccn1
1.0,heldout_group,reactant_key,train,reactions_518,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3190,Cc1ccc(N)cc1.Ic1cccnc1
1.0,heldout_group,reactant_key,train,reactions_1704,Brc1cccnc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_30,Cc1ccc(N)cc1.Ic1cccnc1
1.0,heldout_group,reactant_key,train,reactions_3297,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,heldout_group,reactant_key,train,reactions_2423,Cc1ccc(N)cc1.Clc1cccnc1
1.0,heldout_group,reactant_key,train,reactions_719,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_3036,Brc1ccccn1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1014,Brc1cccnc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_521,Cc1ccc(N)cc1.Ic1ccccn1
1.0,heldout_group,reactant_key,train,reactions_118,Cc1ccc(N)cc1.Clc1cccnc1
1.0,heldout_group,reactant_key,train,reactions_1541,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,heldout_group,reactant_key,train,reactions_956,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,heldout_group,reactant_key,train,reactions_2606,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,heldout_group,reactant_key,train,reactions_394,COc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,heldout_group,reactant_key,train,reactions_1328,Cc1ccc(N)cc1.Clc1cccnc1
