train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value,heldout_group_value
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.157563546917233,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.322383346434854,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6503780733294907,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.839252304044179,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,16.671516964231635,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,13.789389431025043,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.6039900052031644,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8647283447024197,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.494249656947486,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.251825094857281,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9358202787311547,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9618247771149293,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,10.974579124389885,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,7.974423574592678,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.8283943202862784,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.9503823490138805,Brc1ccccn1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.513130910252958,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,11.916026523281243,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6115590372055347,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.7990504580852439,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,20.331743652599275,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,16.982916803748317,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.5010655467491807,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.7834697405980197,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.7176866923974,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.2560257166131406,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9271607279569053,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9523193427886846,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,13.428145567057426,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,9.05508253374617,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.7823662101213837,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.9060317189254163,Brc1cccnc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.90842188817946,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.922220250414963,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6792336449486944,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8666365069318576,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,17.872374468275293,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,14.661360497953314,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.47417179444709,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8212997575963816,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,7.3072030123635345,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.61734298983816,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.932323645598822,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9588617787063973,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,11.211546564017377,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,8.414276813883758,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.7930762133363402,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.909558027111326,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,14.748112681266877,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,11.83565095696992,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.7170824452206436,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8770714762111645,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,26.557620270878253,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,22.982845419690808,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,-47.703850089588535,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.1428898184030023,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.021458505567979,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.161167601849733,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9528381972562946,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9760423964575573,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,12.422876139196433,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,9.393356633920023,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,-9.656860736182919,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.598222668320609,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.440805096453142,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.459361667752388,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6847340396456757,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8358285170012547,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,19.707663155663734,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,17.021500091661107,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.3368909168276365,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8049069003428846,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,5.72667181388545,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.09267136301492,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9566347564239608,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9724161621651487,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,13.100496599309594,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,9.543172773389202,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.7069847438504338,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.8791586847821933,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,16.381715467899554,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,13.409917082889939,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6555964089406348,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8387434990625731,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,11.097093071770697,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,8.861945847218687,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.6241541230596659,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8083512218409076,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,7.43821495577006,COc1ccc(Br)cc1.Cc1ccc(N)cc1
