train_fraction,split_method,group_column,heldout_group_value,split,reaction_id,group_value
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_957,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3886,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2014,CCc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3433,Cc1ccc(N)cc1.FC(F)(F)c1ccc(I)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_240,Cc1ccc(N)cc1.Ic1cccnc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_911,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3356,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3802,Cc1ccc(N)cc1.Ic1ccccn1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1563,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_516,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_190,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3427,Cc1ccc(N)cc1.Ic1ccccn1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1876,COc1ccc(I)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2906,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_188,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_712,Cc1ccc(N)cc1.Ic1ccccn1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1095,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2925,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3048,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_552,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1368,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_500,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2280,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2903,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1722,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_1500,COc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_3611,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_163,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_547,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2057,CCc1ccc(Cl)cc1.Cc1ccc(N)cc1
1.0,leave_one_group_out,reactant_key,Brc1ccccn1.Cc1ccc(N)cc1,train,reactions_2448,CCc1ccc(Br)cc1.Cc1ccc(N)cc1
